Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Mlh Points,Mlh Hardware Lab
What is the current year?,https://revolutionuc1.devpost.com/submissions/58778-what-is-the-current-year,Submitted (Gallery/Visible),Pending,,10/08/2016 20:54:22,"We felt ashamed for the human race that many people were not properly informed of the current year. We have solved this dilemma by implementing static html text that updates with the calendar year. Now we are able to spread the word of the current year through our website. Please contact us if you are interested in advertising.
",http://www.whatisthecurrentyear.com,, Best Domain Name (sponsored by Domain.com),"html, javascript",,"",0,University of Cincinnati,""
Proxy Pi,https://revolutionuc1.devpost.com/submissions/59277-proxy-pi,Submitted (Gallery/Visible),Pending,,10/09/2016 11:47:45,"Inspiration

The group has a fascination for small hardware devices like the Raspberry Pi, as well as cyber security. We felt that we could create a prototype of an interesting project.

What it does

Connecting to the Raspberry Pi 3, a laptop can use the IP address from the Pi. This causes any network activity from the main source to be hidden. This can be very useful in preventing identity theft and other privacy data theft from suspiscious websites. IPTraf allows us to track the data being sent over the network so we can really show what is happening.

How we built it

We used the Rasbian API to set up a Raspberry Pi 3 to be able to work with ssh. Then, we ran the ssh on the device we wanted to become more private, linking it to the Pi. Lastly, we configured a proxy using the newly created ssh in a compatable web browser, which finishes the process of routing network activity to the Pi. We then installed tracking software to include additional information that may be useful.

Challenges we ran into

The Raspberry Pi 3 gave us multiple installation issues, the main one being an issue that knocked out the wifi capabilities. We ended up having to complete a fresh install of the OS in order to fix the issues. We also had issues with connecting the ssh to the Pi device which was fixed after figuring out the perfect set of settings.

Accomplishments that we're proud of

We came in expecting to try something new, and we feel very proud to have learned about a topic that has been a high interest of ours, as well as succeeded in building a prototype of what we learned.

What we learned

We came in knowing very little about Pi devices, and we learned about how the Raspberry Pi terminal works to provide most of the necessary tasks that are needed to run a Raspberry Pi. 

What's next for Proxy Pi

We'd like to look into increasing the privacy functions of the Pi, like python scripts for determining and blocking suspicious websites.
","",,Watch DogsÂ® 2 Best Device Privacy Hack,"raspberry-pi, unix",,"",1,University of Cincinnati,""
uDj,https://revolutionuc1.devpost.com/submissions/59281-udj,Submitted (Gallery/Visible),Pending,,10/09/2016 12:47:52,"Inspiration

When you're at a party or any kind of gathering with music, it's almost a given that everyone will have different opinion. The goal of this application is to give everyone a chance to add their musical taste to the social environment from the convenience of their smartphone. 

What it does

uDj hosts a web service from a raspberry pi that allows multiple client connections to manipulate a song queue. Using a RESTful API, the application allows for real-time modification to a song output. This way, whether you are at the bar with your friends, hosting a party, or just too lazy to walk to your music player, you can choose what you listen to. 

How we built it

The application was built using a node.js backend with a sqlite3 database. The front-end framework was built with HTML, CSS, jquery, and JavaScript. The music output on the pi was programmed with python and rabbitmq was used to communicate between the node.js and python interfaces. 

Challenges we ran intoWhat it does

The architecture was our biggest roadblock. We understood how crucial it would be to organize the multiple levels of communication and therefore spent a great deal of time planning this aspect. 

Accomplishments that we're proud of

After a decent amount of planning, we stuck with our architecture design and it worked out great. The music plays smoothly and communicates efficiently with the other platforms. We also have a pretty cool interface.

What we learned

Pat: I learned more about how to use node.js and sqlite. I also was able to brush up on my python skills.
Kyle: I learned how to communicate with the back-end server through front-end JavaScript.
Kan: I became more familiar with node.js and the overall design process of a web application.
Matt: I learned a lot about rabbitmq, node.js and RESTful API. 

What's next for uDj

Future updates for uDj will include varying permissions based on user rights. We also would like to add integration for the Spotify API. 

Headline
",https://github.com/mtihlenfield/uDj,,"","node.js, python, javascript, jquery, css, rabbitmq, sqlite, html",,University of Cincinnati,3,University Of Cincinnati,""
kase,https://revolutionuc1.devpost.com/submissions/59282-kase,Submitted (Gallery/Visible),Pending,,10/09/2016 13:32:24,"kase

Kinome Array Significance Evaluator

A tool to analyze Kinome Array data for scientific publication.
Examples:

V1.0

Re-coded application from EXCEL macro, reducing computation from hours to seconds
Runs 100,000 iterations of a simulation in ~10s

For Python 2.7
We recommend running using Anaconda for easy package install
https://www.continuum.io/downloads

PLANNED FUTURE FEATURES:
Figure generation
Configurable random seed

Purpose

Kinome Arrays often give confusing results because each detector corresponds to multiple kinases.
Therefore, using simulation, this program approximates a parametric analysis of the distribution of number of hits
for each kinase given that x substrates are chosen, where x equals the actual number of substrates chosen.
Using this approximated distribution, a z-score and subsequent p-value (two-tailed) is calculated for each kinase.

An inexact approximation:
    Standard normal distribution is used as simplifying assumption; although we expect a skewed distribution due ot proximity to zero.
    While a large n=100,000 (random) simulations can be accomodated, this is a tiny fraction of all the true
    combinations.  141 C 10 ~= 617 trillion
    Nonetheless, this is sufficent to rank and compare effect size.

Instructions

Run kase_gui.py for interactive analysis
Note that three files are included as example input/output (in order to load in program)
    SubstrateKinaseDefinition.csv
    SigSubstrates.csv
    output.tsv

Authors

2016 Oct 9 UC Revolution Hackathon
            Jeremy Cox          (JeremyCoxBMI@github.com)
            and
            Erica DePasquale    (careyea@github.com)        author of original tool
",https://github.com/JeremyCoxBMI/kase,,"","python, anaconda, python2.7",,"",0,"University of Cincinnati, University of Cincinnati College of Medicine",""
You Suck At Music,https://revolutionuc1.devpost.com/submissions/59283-you-suck-at-music,Submitted (Gallery/Visible),Pending,,10/09/2016 13:33:38,"Inspiration

I like Spotify and wanted to implement a feature that I have not seen before. The name You Suck at Music came from the fact that most people you tried the website ended up getting very low scores.

What it does

Spotify publishes popularity ratings for individual songs. This websites looks at all the songs you have saved as well as all the songs you have added to playlists and calculates an overall popularity rating for each of your playlists and an overall score.

How I built it

The entire website is written in PHP, html, and java script. The user provides authorization to the server to view their playlists and saved songs. The website then analyses the data provided by the user to give them scores on each of their playlists and an overall score.

Challenges I ran into

There are MANY API calls that have to be made per user. Designing the java script so that it properly loaded the webpage and all the data in a short amount of time proved to be a very difficult challenge.

Accomplishments that I'm proud of

I completed almost every feature that I had planned for this during the hackathon.

What I learned

My understanding of CSS and JavaScript greatly increased from this project.

What's next for You Suck at Music?

A better UI wouldn't be a bad start. I have much more experience in software development and back end website development. Learning more about CSS to make my site beautiful would be a great enhancement.
","https://yousuckatmusic.com/, https://github.com/MM4005/YouSuckAtMusic",," Best Domain Name (sponsored by Domain.com), Best use of Amazon Web Services","php, javascript, mysql, html",,"",0,University of Cincinnati,""
JazzItUp,https://revolutionuc1.devpost.com/submissions/59290-jazzitup,Submitted (Gallery/Visible),Pending,,10/09/2016 14:19:43,"JazzItUp

Using midi file format to improvise music from lead sheets.

Nicholas Maltbie, Vuong Khuat, Wyatt French

Objective

This is part of Revolution UC Hackathon, Oct. 8-9, 2016. The objective is to 
create a program in Java that can read a lead sheet then export a midi file 
that adds improvisation to the song based on the chord progression and music 
theory. 

The basics of how to play a lead sheet can be found here 
from Greg Howlett.

How

Reading lead sheets and improvising is hard, now we will split it up into 
smaller steps.

First Objective

We will develop some format to read lead sheets.

Lead sheets contain


Time Signature
Key
Chord progression
Melody
Possibly Lyrics


Second Objective

Once the lead sheets can be read into the computer, then the program will export 
the melody along with chords to a midi file to create a proof of concept. 

Third Objective

Add improvisation to the midi file (more work on this later, first two should be
completed first.

Output

These exported music files can then be played using a Music Animaiton Machine 
MIDI Player from Stephen Musanim to generate a 
colored, animated score from the midi file. More information about the graphical
 score is created can be found here.  

Finished Product

Now the program can read in either specially written text files that represent a music
 sheet or from midi files with different tracks for chords and the melody. Then,
 the program will take the results from this data and use the melody and 
 chords to compose a song. 

In order to use the application, you can use the GUI launched when the 
 FakeMidi.jar is executed (found in builds). The GUI will present the user with 
 two text boxes for input and output. The path of the input can be 
 directly typed into the load box or it can be selected using the dialog created
 when the select file button is pressed. Once a file is selected, it must be 
 loaded by pressing the load file button. After the file is loaded, it can be exported
 to the file specified in export file text box. A export location can be 
 specified using the select export button.

Final Output

The project can read in a midi file and output a midi file of an improvised 
 reading of the file's chords and melody. The chords and melody must be on 
 different tracks within the midi file. Examples of these txt files are in the project
 as AutumnLeaves.txt, Entertainer.txt and JingleBellRock.txt

If a midi file is not available, a text file to store the iformation can be created.
 The text file must be as follows (without the line1, line2, line3...):

line 1: Title of Song

line 2: Composer

line 3: Time Signature

line 4: key

line 5: melody

line 6: chord progression.

the melody is a single line of notes such as: 
    Ci C#i Ei C+q Ei C+q Ei t(C+i;C+q) Rq Ri C+i D+i D#+i E+i C+i D+i t(E+i;E+i) Bi D+q C+q Rq Rq Di D#i Ei C+q Ei t(C+i;Cq) Rq Rq Ai Gi 

a t(note;note) means note and note are tied
 notes are saved as follows: note then length note or rest, for example:
    example: C+1#w is a C# whole note one octave up from middle C.
        C (middle C)
        C+ (C one octave up)
        C+3 (C three octaves up)
        C- (C one octave down)
        Bf (B flat)
        R (rest)
        E# (E sharp)
    length is the type of note (A . after the letter means a dotted note):
        whole is w  (4 beats)
        half h      (2 beats)
        quarter q   (1 beat)
        eighth i    (1/2 beat)
        sixteenth s (1/4 beat)
        thirty-second t
        sixty-fourth x
        one-twenty-eighth o

the chords is a single line of the song's chord progression such as:
    Rq Ch C7h Fw Ch Gmaj7h Cw Rh C7h Fw 
chord_name is the name of the chord, for example:
    C (C major)
    Bb (B flat major)
    Gm (G minor)
    G#m (G# minor)
    Bbmaj7 (B flat mojor 7)
    F#min (F sharp minor)
    R (A break, no chord)
length is the same as before
length is the length in beats until the next chord occurs   

Challenges While Working on the Project

Attempting to understand Midi in java. None of the group had experience using Midi and it 
was very difficult to find a Library to use with the project and we ended up writing all 
of the code to implement music theory and midi file io ourselves using code on the 
internet and the default java API.

Lack of sleep. The project is 24 hours and None of us on the team slept while we 
were working so we all could use a nap now that it is almost over.

Future Ideas

More music improv standards and music theory ideas added to options for Improviser.java

Image Recognition using OCR to read from sheet music pictures.

Export to Phone for image recognition (written in Java which exports to Android, too much time for this hackathon)

Export to Phone to listen and accompany musicians automatically (we know how to recognize pitches for notes).

More instruments than just piano.
",https://github.com/nicholas-maltbie/FakeMidi,https://youtu.be/5eRjky8j_Eg,"",java,,University of Cincinnati,2,"Univeristy of Cincinnati, Earlham College, Loveland High School",""
Sword Fight,https://revolutionuc1.devpost.com/submissions/59294-sword-fight,Submitted (Gallery/Visible),Pending,,10/09/2016 14:29:00,"Inspiration

We want to replace rock, paper, scissor.
Tired of having to meet each other to play rock, paper, scissor.
Tired of people trying to figure whether you going for rock, paper or scissor.
Tired of people who use psychological loopholes to figure out your next move.

What it does

Move your device front and back to attack.
Move your device side to side to defend.
Move your device up and down to push.
Defend beats attack, attack beats push and push beats defend.
The score fluctuates from -2 to 2 between player 1 win when reached 2 and the another way around.
Whoever get the score to 2 or -2 win.

How I built it

We turn our phones into Iot devices. Grab the movement's information and process it through Node-Red. Finally, turning it from text to speech to announce who win.

Challenges I ran into

10 hours ago, we don't even know what IoT is.
Getting the physics for phone movement to work.

Accomplishments that I'm proud of

Learned node-Red in few hours and developed this app.
Figuring out the movement of the phone to translate into move.

What I learned

IoT, node-Red, Bluemix and you can have fun at a hackathon even if you don't know much technical stuff.

What's next for Sword Fight

Turning it into a real-time sword fighting game where there would a fixed size arena. Using acceleration between 2 players get the relative coordination between two phones. So basically Sword Art Online without the VR.
",http://swordfight.mybluemix.net/,,"","bluemix, iot, red-node",,"",0,Miami University,""
Melody Player,https://revolutionuc1.devpost.com/submissions/59296-melody-player,Submitted (Gallery/Visible),Pending,,10/09/2016 14:31:40,"Inspiration

The inspiration for this project was two different components. The first component was the WWE Wrestler John Cena's self-made viral rap song, ""The Time is Now,"" which today is a popular and easily recognizable tune amongst young people by its opening melody and associated image. The second component to this project's inspiration was a term project I did in high school, in which I used RC circuits to play an entire octave of notes through piezo buzzers, all without any microcontrollers.

What it does

The coded program uses 6 piezo buzzers to play melodies from various recognizable tunes. The base shield provides digital pin connections for the buzzers and button; and an I2C pin connection for the LCD. In this program, a song is selected (at this time, the others must be commented out), and a brief melody is played through the buzzers when the button is pressed. In addition, the LCD displays the song title

How I built it

Materials (all provided by MLH Hardware Lab)


Intel Edison
Base Shield v1.3
Grove Components Kit (items listed below)


8 ribbon wires
6 Buzzers v1.2
1 LCD RGB Backlight v4.0
1 Button v1.1



Challenges I ran into

The buzzers, for unclear reasons, play at different pitches, and the order shown below may not, and probably will not, always be accurate. This may be attributable to errors in manufacturing or uneven distribution of voltage. Additionally, I was not able to play all the notes for Clocks melody because I needed another buzzer (the melody has 7 notes), which requires a set of digital pins. The Base Shield only has 7 sets of digital pins, and because I needed one set for the button to trigger the playing of the tune, there were only 6 sets left for six different buzzers.

Accomplishments that I'm proud of

I'm proud that I came to this hackathon, my first hackathon, with no ideas about how the event would work or what I would do during the event, and I was able to put together a functioning project. I'm proud that I was able to create something that provides mild amusement to others while helping me refine my skills. 

What I learned

Throughout this project, I learned how frustrating that it can be to not have the components one desires for prototyping purposes. In addition, I worked with an Intel Edison and Base Shield for the first time, and refreshed my Arduino/C++ coding.

What's next for Melody Player

In the future, I'd like to see an interface developed to use buzzers to play melodies that are created by the user, in addition to pre-programmed melodies. Another option would be to acquire components to use the tone function of the buzzer (via PWM) and allow just a single buzzer with many buttons to play various tunes (each button would be a separate melody).

Demo Videos

John Cena

We Don't Talk Anymore

Clocks
",https://github.uc.edu/claytomp/revolutionUC2016,https://youtu.be/Lk1YIvMztuU,"","arduino, intel-edison, c++",,"",0,University of Cincinnati,Intel Edison
"Help, Actually",https://revolutionuc1.devpost.com/submissions/59297-help-actually,Submitted (Gallery/Visible),Pending,,10/09/2016 14:33:05,"Inspiration

Since hurricane Matthew tore through Haiti last week, we've been seeing posts shared about how charities such as The American Red Cross and The Clinton Foundation accepted millions of dollars in aid after the horrific earthquake devastated the nation and created nothing but false hope and poorly implemented temporary solutions. Charities like Autism Speaks have faced strong opposition from those they're supposedly speaking for, and some charities squander more money than they take in on professional fund-raising and CEO salaries, like the Kids Wish Network. We wanted a way for potential donors to see why they might not want to support some charities, while simultaneously providing options that would our users to donate to more effective organizations. So we designed a Chrome extension to help guide users through this process.

What it does

When you arrive at a questionable charity's website, the extension icon becomes highlighted and click-able. Clicking on the icon pops up a small window that displays the rating issued by Charity Navigator (a third party service that ranks financial transparency and accountability), several alternate charities that work for similar causes, and news articles related to the charity in question - sometimes the Charity Navigator rating doesn't tell the whole story.

How we built it

It's a pretty standard Chrome extension, built with HTML and JavaScript. At the moment we're using a relatively small, hand-curated list of charities and alternatives. We scraped news articles using Python and the Google Custom Search API, and used IBM's Bluemix to do sentiment analysis to single out the negative articles on a given charity.

Challenges we ran into

Initially, we struggled to get links and images to display in the extension pop-up. All of the charity evaluating and ranking organizations that we could find neither provided an API nor responded to our request to use their paid service. We tried brute-force search-scraping with Python, but iterating through every entry on Charity Navigator to pull ratings and charity home-pages was a slow process that inevitably timed out and left us with an incomplete data set. We divided the labor for coding the front-end and having two people making commits to the same file simultaneously caused some errors to come up. Bluemix was tricky to get running on our data, though it saved us a lot of time in the end.

Accomplishments that we're proud of

We created a functional extension that addresses a real world problem. We incorporated and utilized various technologies and libraries we'd never worked with before, including IBM's Bluemix and Google's Custom Search API. 

What we learned

First and foremost, we learned the process of writing a functional Chrome extension. We gained proficiency in using Bluemix to process text for sentiment, and improved our knowledge of both scraping and JSON parsing.

What's next for Help, Actually

With access to the Charity Navigator API, we could more effectively create a database of charities and their ratings and web pages. We could create a scalable solution that deals with every charity in Charity Navigator's database, and use Bluemix to gauge the sentiment of any news articles the charity appears in to provide a quantitative and qualitative assessment of any charity the user navigates to. We would also like to port to Firefox and Opera.
","https://bitbucket.org/earlhamrevuc/chromeextension/src, http://www.helpactually.com",,"","javascript, python, html, json, bluemix",,Earlham College,3,Ealham College,""
WhatTheContolFWatson,https://revolutionuc1.devpost.com/submissions/59301-whatthecontolfwatson,Submitted (Gallery/Visible),Pending,,10/09/2016 14:36:09,"WhatTheContolFWatson

What if you could Control+F a video?

Imagine if you were able to find exactly where in a video you want to go just with a simple voice command. That's what we have set out to do. Our project is essentially implementing Control+F functionality for a video, meaning we can search and jump to exactly to where we want quickly and efficiently.

As many of you know, Computer Science is largely a self taught subject. You won't be able to learn everything you need to succeed in a University Classroom, and taking to the internet for online lectures is sometimes a necessity. This would be a perfect scenario when our project could be used. 
",https://github.com/ChatSam/WhatTheContolFWatson,,"","python, bluemix, ibm-watson",,"",2,University of Cincinnati,""
