Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Table Are You At?,Mlh Points,Mlh Software Lab,Mlh Hardware Lab
knowledge kiosk,https://revuc-vii.devpost.com/submissions/89653-knowledge-kiosk,Submitted (Gallery/Visible),Pending,,03/04/2018 05:46:45,"Inspiration

We wanted to create something to solve the lack of availability of knowledge in the world

What it does

You enter a word and it outputs a definition for it (want to add much more but 24 hours is not nearly enough time to implement everything that we want to add)

How I built it

We used an arduino 101 with 4 grove kit buttons and a grove kit lcd for the hardware side, and used the official arduino IDE for the software and programming side

Challenges I ran into

An array was not acting how I wanted it to, getting the lcd to work was a pain, installing the libraries for the arduino 101 took about an hour, taking away from our time, it was hard to find a way to mount the buttons and display effectively so they could be used in a cognitive manner

Accomplishments that I'm proud of

Getting a cursor to appear over letters and disappear when moved away from them, dealing with the lack of a full keyboard to input text by manually selecting letters with directional keys, manually inputting every single word included in the project for presenting

What I learned

We had never written my own code for an arduino before this. We learned how to interface with basic grove components and figured everything out by using one example program. We also learned some of the most common words in the English language

What's next for knowledge kiosk

We will continue to add features to the knowledge kiosk over time like a translator, more complete button interface, better display, possible integration with a raspberry pi, etc.
",https://gist.github.com/jvhbv/22deaaf2e4a76ee3c55a6907fca43c75,https://youtu.be/M8QJgVCo0hc,"Best Education Hack, Best High School Hack","arduino, grove",,"",0,8603-D,Purcell Marian High School,"","Arduino 101, Base Shield, and Grove Starter Kit Components"
Dead Pixels,https://revuc-vii.devpost.com/submissions/89668-dead-pixels,Submitted (Gallery/Visible),Pending,,03/04/2018 07:29:16,"
Useless hack - I wanted to make something annoying, inconvenient, and stupid at the same time.
Makes your pixels white.
Made with: Java & caffiene
Problems: Lots of windows. But hey, makes it more useless.
Learned: It's so annoying & That I have no goal here except to do homework really
Future?: Push to github, leave it there.

",https://github.uc.edu/lambricm/DeadPixels,,Best Useless Hack,java,,University of Cincinnati,0,801B-1,University of Cincinnati,"",""
SecureAWS,https://revuc-vii.devpost.com/submissions/89669-secureaws,Submitted (Gallery/Visible),Pending,,03/04/2018 07:36:23,"Inspiration

In the recent times, we find news about AWS breaches leading to TB's of data and compromised ec2 instances used for cryptocurrency, etc. Majority of the AWS breaches happen due to human error which leads to deviation from configuration standards and limited understanding of AWS shared responsibility model. I wanted to create an Alexa skill which would get your security Data to you without the need of logging in or running scripts. 



What it does

It runs security assessments based on industry-accepted practices to provide an overview of existing benchmarks which will allow evaluating the security of the account consistently.  Alexa gets the security data and provides analysis based on user's question. For example, when the user asks Alexa ""how secure is my amazon environment,"" it returns with some failed tests, passed tests and manual tests which needed user inspection. The user can also request reasons for failures by asking ""why did the tests fail,"" and Alexa returns all the reasons for failed tests.



How I built it

The primary data source is generated by AWS CIS benchmark script run periodically and stored in JSON format. Created an API routes using Flask which is integrated with Alexa intents and provide HTTPS end point for Alexa to talk to. Configured Alexa skill set to communicate with the HTTPS with custom metrics and questions mapped to each intent.



Challenges I ran into


learning Alexa
developing using intents on flask-asks
Dealing with unserialized JSON data




Accomplishments that I am proud of

I think it is the first Alexa skill which would gather security configuration information of an AWS environment based and provide an overview of the configurations.



What I learned

learned how to make skills on Alexa, new open sources technologies like ngork, flask, flask-ask.



What's next for SecureAWS

Will be creating a standalone lambda script which would directly communicate with the alexa based on actions so that way the configuration data wouldn't leave the aws premises. My primary Goal for SecureAWS is to create custom metrics on the AWS environment which would increase the visibility for changes and allows you to monitor the environment more effectively.
",https://github.com/nvvarma19/RevolutionUC_SecureAWS,https://www.youtube.com/watch?v=sr44e4eFvNU,"JP Morgan Chase & Co. - Best Hack for Social Good, Fifth Third Bank - Best Fin Tech Solution, Best Education Hack, Best Useless Hack, 8451 - Make the Customer's Life Easier, Amazon Web Services - Best Use of AWS","python, flask, amazon-web-services, alexa",,University of Cincinnati,0,801-9,university of Cincinnati,AWS,Amazon Echo
Digital Forensic Linguistics,https://revuc-vii.devpost.com/submissions/89671-digital-forensic-linguistics,Submitted (Gallery/Visible),Pending,,03/04/2018 07:43:45,"Inspiration

The field of digital forensic linguistics is influenced greatly by its sister field of forensic linguisticsâ€”the application of linguistics to legal issues. Examples of such usage include an appeal against the conviction of Derek Bentley the identification of Subcomandante Marcos, the Zapatistas' charismatic leader by Max Appedole, and, perhaps most famously, the identification of Theodore Kaczynski as the so-called ""Unabomber"" by James R. Fitzgerald.

In the digital world, anonymity is both a blessing and a curse. It allows discussion of ideas without fear of persecution, but also perpetuation of terrible crimes without fear of retribution. Digital forensic linguistics, like its sister field, uses idiosyncrasies of digital languages, programming languages specifically, to identify demographic information about individuals, such as gender, approximate age, and location.

What it does

The digital forensic linguistics toolkit uses random sampling of GitHub users to create a dataset from which a model is extracted, ultimately connecting inputs (information about the user's programs) to outputs (demographic information about the user).

How I built it

The toolkit was built simply by integrating existing API frameworks from GitHub and Microsoft, then chaining those together with feature extraction mechanisms. After that, the evaluation metrics utilizing scikit-learn machine learning package were designed.

Challenges I ran into


Getting access to GitHub's API and Microsoft's Face API and not surpassing strict rate limits (couldn't afford to get banned)
Downloading nearly 60 GB of GitHub repositories
Parsing through those repositories quickly
Picking a machine learning model


Accomplishments that I'm proud of


Not getting banned from any of the API systems I used!
Using Microsoft's Face API successfully
Getting any machine learning model to actually work
Getting any kind of product done
Predicting mustache presence (albeit poorly)


What I learned

Usage of Microsoft's Azure Face API is relatively easy, but scarily accurate, even with low resolution faces. Additionally, natural language and programming language predictions are fairly easy given existing Python architectures.

Choosing a machine learning algorithm is an exceedingly complicated task. Different algorithms are best under certain conditions, and patterns you can could be due to various confounds or other factors. In short, when using machine learning methods, be extremely careful.

What's next for Digital Forensic Linguistics

While the system boats some decent accuracy and explained variance scores, it is not complete, as there were several input types I considered, but did not end up having time to completely implement. Further, a complete review of machine learning methodologies was (understandably) rushed, leaving out several which could have been more useful than those utilized in the end.

Hopefully, the system will be able to begin identifying individuals who have written various infamous virus programs. This will be a true test of the idea's efficacy. Additionally, a much larger sample of programmers will be necessary to continue forward.
",https://github.com/Superraptor/digital_forensic_linguistics_toolkit,,"","python, azure, github, api, scikit-learn",,University of Cincinnati,0,801C-3,University of Cincinnati,"",""
prepr,https://revuc-vii.devpost.com/submissions/89690-prepr,Submitted (Gallery/Visible),Pending,,03/04/2018 08:45:26,"Prepr

This app is aimed towards meal preppers. Meal preppers are people who like to prepare all of their food for the week on one day. This system is perfect for college students because it helps them save time and money by being more conscious about the food that they buy and cook for themselves. 

The idea behind this app is to provide an easy platform for meal preppers to manage their favorite recipes and convert them into handy shopping lists. Through the app you can add your favorite recipes, which can be automatically added to a shopping list along with an easy to follow list of instructions for preparing your food.
",https://github.com/newswangerd/prepr,,"JP Morgan Chase & Co. - Best Hack for Social Good, 8451 - Make the Customer's Life Easier",javascript,,Berea College,2,860B-3,Berea College,"",""
KillChainBot,https://revuc-vii.devpost.com/submissions/89730-killchainbot,Submitted (Gallery/Visible),Pending,,03/04/2018 09:26:37,"Inspiration

Our passion for cyber security

What it does

It automates the kill chain from surveillance to reconnaissance to exploitation and payload delivery while sustaining the integregrity and security of itself.

How I built it

We configured and Ubuntu image to run on a raspberry pi with suricata intrusion detection and prevention system set up to monitor and defend it's own hosted network. Meanwhile we made use of many different hacking tools in the kill chain and automated the use of these tools with python.

Challenges I ran into

Configuring the system to run correctly with an acceptable os and IDS/IPS has been the hardest issue.

What I learned

We learned a lot about managing and coordinating many tools to work together
","",,"","raspberry-pi, aircrack-suit, suricata, nmap, python, linux, ubuntu, network-analysis-tools-(neat), metasploit, atomation, json",,University of Cincinnati,0,Room 1000,University of Cincinnati,"",""
LendMe,https://revuc-vii.devpost.com/submissions/89732-lendme,Submitted (Gallery/Visible),Pending,,03/04/2018 09:35:23,"Inspiration

We want to provide a service that'll allow people to request small loans of money from other users on the platform, all while keeping each user anonymous and secure when sending and requesting money.

What it does

This service allows for users to obtain small loans from people who would like to grow their money in a fast way. The lender is in full control setting the interest amount, payback period, and acceptance of someone taking the loan, making fast money has never been safer. We utilize blockchain technology to secure our network along with AI systems that monitor the service around the clock and immediately take action if needed. We integrate better than bank level security which keeps hackers out and your data and money safe.

How we built it

We built the Android App using Java within Android studio
We built the website using HTML, CSS, JavaScript, along with connecting to a firebase database to keep information synced across the web and mobile sites.

Challenges we ran into

We ran into some challenges with getting JavaScript to load certain functions, along with Firebase responding to our Query commands so we could retrieve the data we were seeking. 

Accomplishments that we're proud of

I think we are all very proud of the fact that we were able to complete an idea that could be revolutionary, if we think about it bank technology is old and outdated, this is why they are constantly getting hacked. So we figured why not create a new platform using the newest technology that has had a proven track record of keeping data safe and in tact without modification. This also decentralizes the money loaning system from just banks to everyday people.

What we learned

JavaScript is absolutely a nightmare. No really, a nightmare. 10/10 would not recommend 

What's next for LendMe

Fingerprint support, Support for Multiple Languages, Figuring out how to reduce operating costs to get more money in customers hands, Better AI technology that secures the network even more, More sign in options making it more flexible for our customers and Lenders.
","",,"JP Morgan Chase & Co. - Best Hack for Social Good, Fifth Third Bank - Best Fin Tech Solution, 8451 - Make the Customer's Life Easier, Best Domain Name from Domain.com","javascript, java, html, css, firebase, database, dns, domain.com, curl",,"Unversity Of Cincinnati, University of Cincinnati",2,801B-5,University Of Cincinnati,"",""
GreenLight,https://revuc-vii.devpost.com/submissions/89735-greenlight,Submitted (Gallery/Visible),Pending,,03/04/2018 09:39:31,"Inspiration: As a retired veteran one of my biggest stresses leaving active duty was trying to find the resources I needed. this app is a way for me to insure my brothers and sisters in arms will never leave their service feeling lost.

What it does:  GreenLight will allow a veteran to anonymously enter their zipcode and find not only available resources but also give them a contact to reach out to in order to expedite the veteran getting the help they need.

How I built it:  We started by making a database of contact information and resources for veterans as well as a list of zipcodes and then put that database into a simple site for veterans to be able to access and use.

Challenges I ran into: The first challenge we ran into was getting all the information for the resources, the next big issue was deciding to change from PHP to ASP.

Accomplishments that I'm proud of:  We are proud that we where able to pool our knowledge and write this site in a language we where not familiar with and on a personal note I like making something that can honestly improve the lives of men and women who to often fail to find help because they don't know where to look.

What I learned:  We learned a great deal about Amazon.AWS as well as ASP

What's next for GreenLight:  Ultimately the plan would be to expand the database to add more contact information for more areas to assist a wider range of service members.
","",,"JP Morgan Chase & Co. - Best Hack for Social Good, Best Education Hack, 8451 - Make the Customer's Life Easier, Amazon Web Services - Best Use of AWS","asp.net, bootstrap, jquery, zipcodeapi.com, sql, amazon-web-services",,University of Cincinnati Clermont College,0,801M-1,University of Cincinnati Clermont,AWS,""
PollMe,https://revuc-vii.devpost.com/submissions/89737-pollme,Submitted (Gallery/Visible),Pending,,03/04/2018 09:40:18,"PollMe

An open source solution that allows for mid-presentation interaction between attendees and presenters through SMS

Inspiration

At the University of Tennessee, we are required to have a Turning Point Technology ""clicker"" to answer mid-lecture questions in many lower-level classes. The problem with this system is that we not only have to pay for the clicker, but we also have to pay for a yearly subscription to Turning Point. We feel almost scammed because of the amount of money we have to pay for this, so we decided to come up with a free option that doesn't require extra hardware and that doesn't require any subscription, and that scales to be applicable to any type of meeting or conference with a speaker. In addition, we saw this as an opportunity to improve the way students or other meeting attendees interact with the professor or speaker. There's always people in large lectures that want to ask questions but that are either too shy or too worried about sounding stupid, and there's also the problem that a professor in a large lecture wants to wait for a natural pause before answering questions instead of stopping mid-stream. To solve these problems, we've added capability to PollMe to allow people to submit anonymous questions real-time to the professor or speaker.

What it does

Anyone can set up an account to put out polls in a class or meeting; the attendees just have to send a text to the app's phone number with a header to identify the class section and poll. The presenter then can see real-time results of how attendees answered. Similarly, if someone has a question, instead of having to raise their hand and ask it in front of a large group of people, they can send a text with a header identifying the class section or meeting, and the professor can receive that real-time.

How we built it

We're hosting this project on an AWS-ec2 instance. We're using flask and docker builds on the backend, and we're using Twilio's API to send and receive SMS's.

Challenges we ran into

We started out trying to use a different SMS API, but it turned out to be anti-user-friendly. Also, figuring out how to receive a text in Twilio wasn't the easiest thing in the world. We realized that docker doesn't work correctly on the Ubuntu subsystem for Windows 10; it wasn't a huge problem, but it meant some work that should've been done locally had to happen on the server. We also got a little bit of a slow start and started to get fairly time-constrained towards the end.

What we learned

Most of our group had never worked with an SMS API, so using Twilio was a good learning experience. API endpoints were also new to most of us.

What's next for PollMe

We would like to add the option for students/attendees to interact with the app via web instead of forcing SMS, but we just didn't have the time for that at this hackathon.
","",,"JP Morgan Chase & Co. - Best Hack for Social Good, Best Education Hack, Best Useless Hack, 8451 - Make the Customer's Life Easier, Amazon Web Services - Best Use of AWS, Best Domain Name from Domain.com","javascript, css, html, docker, python, twilio, flask, jquery, mysql, ubuntu, amazon-ec2, amazon-web-services",,The University of Tennessee - Knoxville,3,801D-3,University of Tennessee,AWS and Domain.com,""
OpenFund,https://revuc-vii.devpost.com/submissions/89738-openfund,Submitted (Gallery/Visible),Pending,,03/04/2018 09:49:11,"Inspiration

I am constantly being told about the shrinking of middle class, but rarely hear any viable solutions.

This weekend I wanted to save the middle class.

Apparently the average middle class American saves about 4.4% of their income. Of course we know we should always save more--but I was struck by the fact that the average middle class American is saving. One common theme in analyses is that when the people of the middle class invest, they don't know what they're investing for. While those above a certain financial threshold can afford financial advisers and tax accountants, the middle class often lacks a goal or an objective.

This asymmetry leaves those who work hard in the middle class to struggle and fail to improve their financial position.

What it does

OpenFund is a platform where anyone can come to make their financial goals real, and use open source investing algorithms to make financial independence attainable.

How I built it

OpenFund is built on top of a Django web framework that is built for easy extensibility. This allows open source contributors to build their own trading algorithms in a modular way, and then seamlessly publish them for anyone to use.

Challenges I ran into

Financial math can be hard! I was super luck to have the help of a couple JP Morgan and 5th/3rd mentors to help me figure out what was important and get the math right.

Accomplishments that I'm proud of

I wrote my first ever unit tests! (Maybe proud and embarrassed it took this long)
I learned a metric heck ton about finance and asset management!
I worked on something I care about that can help people!

What I learned

I learned so very very much about finance and investing. I learned a lot about understanding the end user and focusing on what will bring value to their lives. I learned quite about Django, and SQL databases.

What's next for OpenFund

I want to work out a few of the kinks so it's actually running. The sick thing about 
",https://github.com/wlifferth/openfund,,"JP Morgan Chase & Co. - Best Hack for Social Good, Fifth Third Bank - Best Fin Tech Solution, Best Education Hack","django, python, heroku, d3.js, jquery, photoshop, sqlite",,The University of Tennessee - Knoxville,0,801D-1,University of Tennessee,"",""
