Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,What Is Your Table Number?,Mlh Points,Mlh Hardware Lab,Mlh Software Lab
Denial Dial,https://revuc-viii.devpost.com/submissions/114270-denial-dial,Submitted (Gallery/Visible),Pending,,03/02/2019 21:33:24,"Inspiration

Ever been asked for your phone number by a stranger but you didn't want to give it to them? Denial Dial is here to save the day!

What it does

Just text (614) 782-8989 and we will handle the rejection for you. When the stranger texts our number, our server will wait about 30 minutes and send them a text. But we didn't stop there - if multiple people have texted the hotline in the last 30 minutes they will be paired up at random and start texting each other. After a few messages we send them both a carefully worded rejection text and send them on their way!

How we built it

We used Twilio's API with Node.js and MongoDB to build a server that responds to texts to the phone number and responds the way we want it to.

Challenges we ran into

Deployment on Google Cloud Platform was very difficult, especially getting MongoDB to work

Accomplishments that we're proud of

We built something that is useful in the real world and successfully used Twilio APIs which we have never used before!

What's next for Denial Dial

We will keep the server running for the foreseeable future so everyone can use it! 
",https://github.com/nathan815/denial-dial,,Best Use of Twilio,"twilio, node.js, express.js, mongodb",,"University of Michigan - Ann Arbor, Eastern Michigan University",1,801A-5,"Eastern Michigan University, University of Michigan","",""
Circuit Builder AR,https://revuc-viii.devpost.com/submissions/114367-circuit-builder-ar,Submitted (Gallery/Visible),Pending,,03/03/2019 00:05:15,"Inspiration

When I was in high school, and even the first few years of college, I found it extremely hard to learn about electronics outside of classes. I thought, ""I can make something with my skills to improve this.""

What it does

If you have all of the needed parts, simply point your phone camera at them, and watch AR fill in the wiring so that you no longer have to dig for datasheets, or get confused with wiring diagrams.

How I built it

Using Vuforia, which allows for object tracking and other AR functionalities. Unity, which allows for the 3D world space editing which was used to make the live AR wire diagrams. 

Challenges I ran into

Unity is extremely daunting to get started with. Just the beginner tutorials are 8 hours long each, so it was a lot of trial and error to get the program to work.

Accomplishments that I'm proud of

I'm really happy with how the app turned out, it looks really good for a demo made in under 24 hours.

What I learned

I learned a bit more about how to use Unity and the 3d space kind of programming.

What's next for Circuit Builder AR

The demo program was only made for one simple circuit because of time constraints. However, it would be cool to build out a full app for all of the Electronics classes at UC.

In addition, Unity allows for me to port this application to IOS, Linux, Windows, and more. However, this will require a much greater effort to carry out.

How is this different from other apps?

If you look at Google AR Core, Apple ARKit, and other major AR apps, the major thing that they do well is object recognition and ground plane tracking. Meaning, you can point your camera at almost any object and either know what you're looking at, or project something onto that object. Those kinds of capabilities have been publically available since around 2011. What is really innovative, unique, and new, is AR with an experience in mind. For example, manuals, instructions, and hands on activities that are completely custom are able to provide an experience that Google or Apple is not going to be able to reproduce in the standard AR Core or ARKit apps because it is a custom program catered to a specific need. This type of program is what I have created a demo for with this project.

Where can I see the project?

Unfortunately, Vuforia requires some private keys in order to make the app work. I cannot share the project source at the moment because I do not want my keys to be abused.
","",https://youtu.be/LE57ltMmDEQ,"Best Design, Best Hardware Hack, Best Undergrad Hack (Undergrad Research), Most Innovative Hack(TCS)","unity, c#, vuforia",,University of Cincinnati,0,860D-6,University of Cincinnati,"",""
The Fizzle Fairies Menagerie of Funky Retro Carnivores,https://revuc-viii.devpost.com/submissions/114406-the-fizzle-fairies-menagerie-of-funky-retro-carnivores,Submitted (Gallery/Visible),Pending,,03/03/2019 02:30:18,"Instructions

Click an animal to use it!

to create your own animal, follow these steps!


Click ""Draw New Animals Here""
Use Piskel to draw and animate your animal
Once you're done, click the EXPORT option on the side of pixlr (it looks like mountains and a sun)
Click ""Upload"" then copy the yellow link
Paste the yellow link into the text box in our app, and click ""Add an Animal""
Scroll the the bottom, and click your animal to select it!
You successfully created an abomination! 


Inspiration

We were inspired by memes, virtual pets, and retro video game sprites.

What it does

You create and play with little animals, feed them, and raise that score!

How we built it

We used glitch as our online collaborative IDE, and using flask we set up a website that used p5.js to draw our pixel babies to the screen. You can even add your own using the sprite editor we used online!

Challenges we ran into

Starting out with a lot of ideas, we had to narrow down our focus. We started with much more central and practical ideas, but in the end, we just wanted to have fun!

Accomplishments that we're proud of

We are proud of our sprite art, many of them actually drawn by us during our Hackathon time!

What we learned

We learned how to set up flask online, maneuver glitch, and write JavaScript to manipulate the dom. Not to mention our new experience with pixel art animations! 

What's next for The Fizzle Fairies Menagerie of Funky Retro Carnivores

We're contemplating a server-side storage of the animals people create, that way you can play with anyone's animals and share them online! We would also like to let people play with their animals together using client to client network communication through our flask server.

To use the chrome extension


Unzip the fizzleExtension
go to chrome://extensions
enable developer mode
Import the fizzleExtension unzipped folder
Enjoy your pet sitting on your stuff (you can't click it when he does that!) as he follows you around the internet!
(Your score is now printed into the console)

",https://royal-sunshine.glitch.me/cody,,Best Useless Hack,"flask, p5, javascript",,Berea College,2,860D-1,Berea College,"",""
PowerSetter,https://revuc-viii.devpost.com/submissions/114483-powersetter,Submitted (Gallery/Visible),Pending,,03/03/2019 06:44:33,"Inspiration

Combinatorial abstraction. Using binary strings from 0-2^(n-1) to represent the subsets of a set of size n.

What it does

finds the subsets of a set

How I built it

html5, css3, and javascript.

Challenges I ran into

Javascript proved to be a difficult language for me as someone who comes from working with mainly high level programming languages such as python or Ruby.

Accomplishments that I'm proud of

Firstly, the app works. Overall, I would say that I am most proud that I was able to build a basic web app with the little I know.

What I learned

The language of Javascript, encorporating it efficiently in html5

What's next for PowerSetter

improvements to the overall UI, styling, and fixing some serious bugs such passing in sets as elements.
",https://github.com/Davidg384/PowerSetter,,"Best Design, Best Hardware Hack, Best Useless Hack","love, javascript, html5, css3, vim, pixie-dust",,Berea College,0,860D-3,Berea College,DragonBoard 410C,""
DIALEXT - SMS Communication without Language Barriers,https://revuc-viii.devpost.com/submissions/114507-dialext-sms-communication-without-language-barriers,Submitted (Gallery/Visible),Pending,,03/03/2019 07:15:55,"Inspiration

We went into this hackathon without a solid idea for a project and were hoping for inspiration somewhere along the way. The live demo of Twilio's SMS messaging services at the opening ceremony seemed so seamless and so powerful, that we knew we wanted to use their API. 3 hours into the hackathon we came up with Dialext!

What it does

Dialext is a group texting interface which is meant to take down language barriers and to allow people to communicate with each other by translating all incoming texts to each user's preferred language! 

One of the many reasons Dialext is a great product is its consideration of its users' needs! While many people have unlimited texting these days, unlimited data is still nowhere near as common. There are also many places which have too poor of a signal for good data connections but a good enough signal for SMS. Since Dialext is completely SMS-based (from the user's perspective), it eliminates the need for data, which is required for many other web-based or app-based translation and chatting applications! Another bonus is the convenience - not only does Dialext provide a chatting space for you and your friends, but it automatically does all the translations behind the scenes without the user having to copy/paste the texts from their friends into 3rd party translators!

How we built it

The program was built in Visual Studio 2017 using C# .NET. We used Twilio's REST API for sending and receiving SMS messages, Microsoft's Azure Cognitive Services - Translator Text API for translating the individual texts between languages, and ngrok to allow our receiver program to be called by Twilio over the internet. 

Challenges we ran into

Twilio Timeout:

To make this project run, I have two C# .NET applications running simultaneously, but that was not always the case. Initially there was only one C# .NET project, and it was in charge of receiving the incoming SMS messages, decoding the textmessages/phone numbers/ other useful info, checking whether the user was a new or returning user, storing and retrieving user information to/from databases, translating the texts, and sending out the relevant messages to each user based on sender/sendee status, user/admin level, and preferred language. What I didn't know at first was that the Twilio API had a wait time of 15 seconds for a reply before timing out and assuming something was wrong with my server/application and abandoning the SMS request in favor of an error message. 

I couldn't find a way to increase the timeout time, so I had to find ways to make a swifter response. Most of the time seemed to come from opening, searching through, and closing the Access databases which stored the currently-active users' phone numbers and preferred languages. I decided to split the project into two. 

The first project would get the SMS message, send the phone number and SMS body (message) into a quick .txt file, and respond with null to Twilio, avoiding the timeout problem. This is the receive program.

The second project would read each .txt file placed in its reserved directory by the first receive program. This second program would take note of the sender's phone number and message, check for exit codes (if the user is trying to leave the chat) and respond accordingly, report any major changes/errors to the admin, and, of course, translate and send out the messages to each individual user.

Access Databases

Initially we were using Access Databases (.accdb) to store the information from each user, but we had trouble with the ""Microsoft.ACE.OLEDB.12.0"" provider which seemed to be on my PC but not recognized by my Visual Studio project - after trying to resolve this problem for about an hour, I prioritized finishing the rest of the project, and simply used .txt files instead.

Accomplishments that we're proud of

This is our first hackathon and we made a functional project!!!! While I've worked with C# before and am familiar with Visual Studio, I've never used Twilio SMS or Azure Translator APIs before, so there was definitely a lot that I learned from this project!

What we learned

The obvious answers are that we learned the Twilio SMS and Azure Translator APIs, but we also learned how to trouble-shoot, make decisions, and adapt quickly to changing conditions/project specifications. Finally, we learned that if we come upon an error/ problem/ question on the software we're building, odds are that somebody before us has thought the exact same thing - Google and StackOverflow are your best friends in these scenarios.

What's next for Dialext

A static web page for hosting the Twilio response instructions, for explaining Dialext's purpose, and for letting people sign up their phone numbers online? Support for more languages than the current 6 (English, French, German, Portuguese, Russian, Spanish)? Support for multiple group chats and for private group chats? Less hard coding/repetition and more security? There are lots of ways to improve this project!
",https://github.uc.edu/chapkoaa/DIALEXT_RevolutionUC_2019,,"Best Undergrad Hack (Undergrad Research), Best Use of Azure (Microsoft), Best Hack for Social Good (JP Morgan Chase & Co), Best Use of Twilio, Most Innovative Hack(TCS)",".net, azure, azure-cognitive-services-translator, twilio, love-<3, caffeine",,University of Cincinnati,1,860D-7,1,"",""
Deep_Learner,https://revuc-viii.devpost.com/submissions/114666-deep_learner,Submitted (Gallery/Visible),Pending,,03/03/2019 09:32:17,"RevolutionUC

Project: Deep Learner

Authors: 

â€¢ Giorgi Lomia
â€¢ Dostonbek Toirov
â€¢ Hila Manalai
â€¢ Emely Alfaro

Categories:
â€¢ Education
â€¢ Demystify Data

Purpose: 
To make neural networks/deep learning more accessible to general public and those who might not have programming skills.

Description:
Deep Learner is an interactive GUI that allows users to import data, visualize it, decide which variable to predict and run neural networks on it. Users are able to construct and train complex neural networks without writing any code. Based on the obtained results, users can try more optimizers, change predictors or save and export the model results to make decisions. 
In general, this program enables users to create their own neural network models without any prior knowledge of coding.

What we learned:
â€¢ Creating a fully viable product
â€¢ Better understanding of Deep Learning and the underlying structure of neural networks
â€¢ Designing user interface
â€¢ Optimizing user experience 
â€¢ Understanding user needs

To Run the App


Clone or download the repo as .zip file
You need to have Python 3 to be able to run the app. Install requirements and dependencies by running:

$ pip3 install -r requirements.txt

Start the app by running:

$ python3 GUI.py


",https://github.com/Dostonbek1/RevolutionUC,,"Best Design, Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co), Most Innovative Hack(TCS)","python, r",,Berea College,3,860D-6,Berea College,"",""
Portable Remote-Controlled Forklift Prototype,https://revuc-viii.devpost.com/submissions/114668-portable-remote-controlled-forklift-prototype,Submitted (Gallery/Visible),Pending,,03/03/2019 09:33:46,"Inspiration

The basis of our design is to have an emphasis on safety. We wanted to take the human element out of the forklift operation, but still give them the control and ease of use remotely. Operator related accidents happen on a regular basis and this will keep the operator out of harms way as well as allowing the forklift to be compact enough to transport with ease due to its folding platform. 

What it does

To account for this we redesigned the forklift, complete with remote controls to avoid operator injury. The remote control allows the operator to be able to control it from a distance and avoid blind spots that traditional forklifts have a serious problem with.This is not only safe for the operator, but anyone else that may be within its area of use.

It's design also considered the condition of portability. With it's folding mechanical arm concept it is able to fit in the underside of a trailer or in a small container that is easily transported.This allows for it to be used anywhere, and with the use of it's zero turn capabilities it can move in very tight spaces with ease. 

How we built it

Keeping the build as simple as possible without sacrificing functionality we decided to use LEGO as the base building material. We all had an abundance of material and knowledge to be able to construct the forklift without the worry of using unfamiliar materials. With a combination of LEGO Technic and Arduino electronics (motors, Xbox controller adapter, Arduino Shield, and motor controllers) we were able to utilize the functionality of LEGO and the advanced programming options of Arduino.  

Challenges we ran into

The original plan to implement zero turn was to have free standing wheels on the back and simply drive the front wheels similar to how a shopping cart's wheels work. The weight of the car prevented the wheels from spinning properly so we implemented power steering in the back, trying several designs before arriving at the final design.

The code we wrote implemented example code taken from Kristian Lauszus and an Xbox controller library developed by felis on GitHub. Learning how this library worked and implementing it properly took some occasional tweaking of the code. 

Finally, lining up all the Legos in different planes and their accompanying gears took several attempts for every motor. Matching the necessary torque with the desired speed also took lots of trial and error.

The attempt to make the forklift arm fold back onto the machine with a motor did not work, as the motors either lacked the proper strength or Legos did not have the desired stability. Because of this we left the arm folding back on the machine as a concept, needed to be done with our hands.

Accomplishments that we're proud of

The power-steering zero turn design was something we did not plan on implementing. We planned on being pressed for time, so developing this over the course of two hours and its accompanying code, left us very satisfied. 

Gear reductions were also very difficult to build, as they take several planes on mounting that all have to be rigidly locked to the chassis. The payout in torque allows our robot to move as quickly and as powerfully as it does.

What we learned

While each of us came into the Hackathon planning to utilize our different strengths (coding, building, and electronics), we were each able to learn from each other as single-handedly trying to handle any of these tasks was daunting. 

What's next for our Portable Remote-Controlled Forklift Prototype

Being a prototype, the potential for actual development is very appealing. While materials like plastic limited our rigidity, real world steel construction would allow our design to be increasingly functional. Coupled with the obvious body-to-processor ratio difference between a prototype and a real model, an actual design should be even more feasible than a prototype. 

Lastly, since our prototype is already driver less, there is strong potential for autonomous driving. While safety was our focus, and autonomy would have to be implemented flawlessly to preserve this, the massive payouts in production speed, safety and portability make it an ideal project for the future. 
","",,"Best Hardware Hack, Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51), Most Innovative Hack(TCS)","arduino, stepper-motors, lego-technic, xbox-controller, gear-reductions",,University of Cincinnati,0,801B-1,University of Cincinnati,"",""
WhackaStack,https://revuc-viii.devpost.com/submissions/114673-whackastack,Submitted (Gallery/Visible),Pending,,03/03/2019 09:41:31,"Inspiration

Adulting is challenging, but credit shouldn't have to be. I have learned from my personal experience of being lost, and not knowing how to navigate credit, as a young adult. After watching many podcasts, taking online courses and talking to individuals with good credit, I was able to understand credit more thoroughly. I want to share that knowledge with others, in a more relatable way, so that their learning process is more entertaining and easy to access in a central location with WhackaStack.

What it does

There aren't many fun ways to learn about how to maintain good credit, and WhackaStack is a great way to meet this gap in the market, by providing key facts about credit through an entertaining game, modeled after Whack a Mole. Top mistakes to avoid with credit are shown on the WhackaStack monsters that the player learns through completing the game. These helpful tips are also reinforced through additional resources including Bizkids, Credit Karam and Credit Sesame to further the discussion.

How I built it

I researched jquery frameworks online and considered how I could integrate key credit information in entertaining ways, and that lead me to use Whack a Mole as a model.

Challenges I ran into

The hover reaction that makes the picture change in the animation was challenging. It took me a while to figure it out. This is my first time making a game.

Accomplishments that I'm proud of

I am more familiar with jQuery, and I feel more confident to take on more challenges and make responsive web apps.

What I learned

I learned how to make a web, game apps with jQuery and also how to make static pictures into animated sequences.

What's next for WhackaStack

I'm going to consider adding more reactions for clicks, and additional resources.
",https://github.com/TAdeniyi/WhackaStack,,"Best Design, Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co)","jquery, html5, css, paint3d, canva, github, atom",,"",0,801-5,Georgia Tech,"",""
QUICK-INV,https://revuc-viii.devpost.com/submissions/114681-quick-inv,Submitted (Gallery/Visible),Pending,,03/03/2019 09:46:50,"Inspiration

We were inspired 

What it does

Our project uses a camera and Google Cloud's Vision API to first take a baseline image of say a shelf or a refrigerator to compare against the current state of the items in the image(whether they are present or not). In addition, we integrated our project with Twillio so that a user could send text requests such as ""What's missing in my fridge?"" to get a list of items to buy when they're at the grocery store. Twillio can also send the user what's currently in their fridge/cupboard or  provides a help function that shows a list of all the commands to use. 

How we built it

How we built it:
We built this application using a combination of Google Cloud hosting, Google Vision API, and Twillio. We hosted a  LAMP server on the google cloud instances that would hold not only a web user interface, but would act as a file server where the remote camera can upload images for processing. This way we were able to process the images as well as store them for later use if we wanted. 

The remote camera runs a python script that takes a picture after a set amount of time, that is configurable by the user, and then the device forms an SFTP connection with the server to transfer the files. The server will then check the folder that contains images and send all available images to be processed by the Google vision API. The results of this contain confidence values of what objects are in the image, this data is then submitted to the database in order to maintain a record over time.

We then implemented the Twillio api so that a user can request more in-depth data about what the camera contains, and is missing (from the base line), this is useful for many purposes and is scalable . As a final touch we have data over time displayed on the PHP website.

Challenges we ran into

While working on our project, we ran into several unexpected challenges that took many hours to recover from. We accidentally posted our api key to our GCP services on github where it was picked up by a web crawler. Shortly after, our project on GCP was hacked and multiple delete-protected VMs were spun up to perfrom crypto mining which led google to suspend our project until our appeal was accepted( after 2 days!). We recovered from this set

Accomplishments that we're proud of

We are proud to have a functioning product that does what we initially wanted to do. Further more we ran into several challenges as mentioned above that we are proud to have put behind us.

What we learned

We learned a great deal about Google Cloud platform and the services that were available to us through there. We also learned how to use the Vision API and store & display the various data we collected using a data visualization tool called high charts. 

What's next for QUICK-INV

In the future we can add google home implementation where users can use voice commands to check their various inventories. 
",http://quick-inv.com,," Best IoT Hack using a Qualcomm Device (MLH), Best Use of Google Cloud Platform (MLH),  Best Domain Registered with Domain.com (MLH), Best Hardware Hack, Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Use of Twilio, Most Innovative Hack(TCS)","google-cloud, google-vision-api, php, python, mysql, camera, highcharts",,Northern Kentucky University,3,801B-4,Northern Kentucky University,"",Domain.com and Google Cloud Platform
ELLo Mate,https://revuc-viii.devpost.com/submissions/114683-ello-mate,Submitted (Gallery/Visible),Pending,,03/03/2019 09:47:11,"Inspiration
 At Northern Kentucky University, there are a good number of ELL (English Language Learning) students attending. The main source that is used by these students is the Writing Center. One of our team members, Isabel, happens to be a writing consultant at NKU. After working with so many ELL students, she wanted to make a change in the way things are happening in a tutoring session. Upon first meeting and ELL student, there is never a good way to asses his or her reading comprehension level. It is only after roughly the second session that a tutor will have an idea as to what level his or her tutee is. If there was something to help the tutors (even teachers) understand and assess, there would be a significant increase in the efficiency of a learning session. 

What it does
 Ello Mate is a web application that allows for ELL students (and anyone, really) to test into and improve reading comprehension levels. Students will see their progress and continue to be challenged to better their skills. Teachers and tutors, as a result, will be able to access the statistics and information necessary to better aid the students in their learning. By helping the students and helping the teachers, there is an excellent win-win scenario present. 

How we built it
 We built this application by banding our brains together, failing a bit (a lot, actually) at first, and finishing stronger than we thought.  The applications we used were HTML, CSS, Laravel, JavaScript, and PHP. 

Challenges we ran into
 A challenge that we ran into was exploring Laravel from scratch by creating local databases. Another challenge we faced was trying to incorporate some form of artificial intelligence to help compute various statistical measurements. 

Accomplishments that we're proud of
We are proud of learning new languages and frameworks. We are also rather proud of how we executed our plan and created something that we think and sincerely hope will benefit many. 

What we learned
 Unfamiliar templates are difficult to customize to your needs. Database management can be challenging when using multiple tables and many entities. 

What's next for ELLo Mate
 The dream is rather huge for this team at ELLo Mate. Of course, we want to make this application the best platform for learning as possible. If this ever piqued the interest of schools and universities, we believe that this would be an excellent tool in the various communication barriers found between educators and students. And, while this was originally inspired by the large influx of ELL students coming to a university's writing center, this is an application that can be used by anyone who wants to improve his or her reading comprehension. Younger readers could especially benefit from this application. We want to help the literary world one paragraph at a time. 
","",,"Best Design, Best Undergrad Hack (Undergrad Research), Make the Customer's Life Easier (84.51), Best Demonstration of the Use of Data to enable Better Customer Experiences, Best Hack for Social Good (JP Morgan Chase & Co)","html, css, php, laravel, javascript",,Northern Kentucky University,1,801B-2,Northern Kentucky University,"",""
