Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Table Number,Mlh Points,If You Submitted For The Domain.Com Prize What Was The Domain You Chose?,Mlh Hardware Lab,Mlh Software Lab
Canada Eh! | A Site for Information and Entertainment,https://revuc-ix.devpost.com/submissions/142828-canada-eh-a-site-for-information-and-entertainment,Submitted (Gallery/Visible),Pending,,02/23/2020 04:13:03,"Inspiration: My trips to Niagara Falls that lasted throughout throughout my childhood inspired me to make an app focused on Canada. The stereotypical term, ""eh"", is fun to use and from time to time, it is also enjoyable to have the Canadian maple syrup. In Canada, the metric system is standard. I wanted to make something that utilized functions with JavaScript and provided useful information which I can use next time I visit Canada.

What it does: It features a home/index page and switches between pages for Memes, a Unit Converter, and a Sources page.

How I built it: I built Canada Eh! through the use of Visual Studio Code and HTML.

Challenges I ran into: I experienced difficulty with setting up the HTML tags at first but over a period of a few hours, I began to get the hang of it. After that, I decided to implement JavaScript functions for performing unit conversions. In programming these, I learned how to make useful functions with JavaScript.

Accomplishments that I'm proud of: I am proud creating a website based on Canada with HTML and JavaScript, which I have never used before.

What I learned: I learned that HTML is a markup language with tags and JavaScript is used as a way of performing functions on HTML websites.

What's next for Canada Eh! | A Site for Information and Entertainment: In the future, I hope to share Canada Eh! with my grandparents, who travel to Niagara Falls a few times a year; share it with friends of my family who live in Canada; and add more to Canada Eh! to make it an even better experience.
",https://canadaeh.online,,Make the Customerâ€™s Life Easier (84.51),"html, javascript",,Ohio University - Main Campus,0,801M-9,"","","",""
PABLA,https://revuc-ix.devpost.com/submissions/142935-pabla,Submitted (Gallery/Visible),Pending,,02/23/2020 09:48:25,"Inspiration

We wanted to leverage both the physical device as well as Blockchain to create a hybrid digital-physical authentication tool. 

What it does

It looks for an authenticated user and sees if the user has made a transaction on the blockchain. It then looks for physical authentication. Once these two are met they gave and access granted. Thus being able to create a traceable physical authentication without having to worry about a personâ€™s identity and have a public record.

How I built it

We leverage python to run the API calls to the Blockstack blockchain application. We then also you see ads C++ to create command to the adrenal. Python was used to link between the adrenal add the API calls.

Challenges I ran into

There are multiple challenges that we ran into when developing this application. The first challenge that we ran into was the process of authenticating users with blockchain. We found out that trying to authenticate users with the API was significantly harder to do than expected. Thus we switched up from the authentication portion of block stack to the street API calls.
We also had a significant amount of technical difficulties with developing this application. We decided to first run the application in Google App Engine and use Flask to develop a web API. However, Flask did not play well with React and Blockstack application. So then we switched up to Node.js I tried running a Google app engine, however, the application has significant difficulties trying to start up as well. We were able to pivot multiple times and be able to rely on Python code to run the application.

Accomplishments that I'm proud of

We are happy that we were able to get the application working and to be able to handle the difficulties of working with mix technologies to get the application running. Weâ€™re also happy that we were able to collaborate regardless of our ages to get a team to cohesively get a project out. Our team consists of a graduate student, undergraduate student, at a high school student which made leveraging our youth with our experience integral to making the application work. Weâ€™re also happy that we were able to learn to adapt to the difficulties that were common in this application. Instead of being stuck to one project, we learned to be adaptable and flexible which will be needed in the industry.

What I learned

We learned a lot about how Blockstackl operates and what are the requirements to be able to track blockchain transactions for users. We also learned about how to run applications on Google App Engine. We learned more about how to leverage Audrino for physical device development.  Finally, we learned about ourselves and how to create a team that is agile to adapt to various obstacles and needs. 

What's next for PABLA

The next step for our application is twofold. One is to install the physical hardware on different devices so it canâ€™t unlock devices for people using blockchain and physical access. We also want to have this application more integrated into Blockstack so we could be able to create a robust application that leverages blockchain. 

We hope to make it more integral to Blockchain 
","https://github.com/aadejare/physblkchn, http://chainzandplainz.tech",,"Best Design Hack, Best High School Hack, Most Innovative Hack by UC Students (EECS GSA), Best Domain Registered with Domain.com (MLH),  Best use of Blockstack (MLH), Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third), Make the Customerâ€™s Life Easier (84.51), Best Data Collection Hack (CincyTech)","python, c, c++",,University of Cincinnati,1,755-3,University of Cincinnati,chainzandplainz.tech,"",Blockstack
Alster,https://revuc-ix.devpost.com/submissions/142949-alster,Submitted (Gallery/Visible),Pending,,02/23/2020 09:55:14,"Alster

AR Hamster ball game.
Fight against the hamster ball on a real surface with AR and tip the opponent off the surface!

Flow:


Scene1: 


Instructions
Simple Play button
Change play time (dropdown/carousel)

Scene2:


Start Mapping surface
Press ok or wait 2 seconds until mapped place doesn't change.
Start 3 second timer
Drop balls
Start game timer
Auto spawn 2 seconds on losing.
End game after 30 seconds.

Scene 3:


Show scores
Replay button


",https://github.com/Akhilez/Alster,,Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third),"c#, ar, unity",,University of Cincinnati,0,801M-7,University of Cincinnati,thealster.space,"",Domain.com
Prescription Tracker,https://revuc-ix.devpost.com/submissions/142979-prescription-tracker,Submitted (Gallery/Visible),Pending,,02/23/2020 10:05:28,"Inspiration Prescription Tracker:

In a lot of places around the world, doctors use paper to write prescriptions for patients. We thought about what we can do to make this easier so we decided to build software we would make open source. 

What it does Prescription Tracker?

It creates an interface for the doctor and another interface for the user. Both login using the same application with an option for the doctor to log in as a doctor and the patient as a patient on the startup page. 

How we built it Prescription Tracker:

We built this app using android studio. We created sample API data to be displayed when a user searches. We wanted to create a search functionality from the API data but we didnâ€™t have enough time so we focused on other parts of the project.

Challenges we ran into Prescription Tracker

We were working on different branches so when it came time to merge we had to look through our codes again and debug. That took us the most time.
We also wanted to add more functionality to our app but we realized that we couldnâ€™t finish in time if we added those. 
The other challenge was going from one activity to another in android app. It took a long time to figure out how to navigate from the second activity to the third activity.

Accomplishments that we're proud of Prescription Tracker

We are proud of our idea and how much we were able to understand and implement in a short time give. We are also proud of starting this project because we intend to finish it when we get back to campus. 

What we learned Prescription Tracker

We learned how to use the android studio. We learned how to build an app. We learned how to use an API in our code. We learned more about the android studio debugging tools.

What's next for Prescription Tracker

We want to add a Barcode scanner, search functionality from an FDA API data (), and dispense our software open-source for doctors and patients to download and use it as they like. We would also like to add a functionality where patients press on medicine and can see the side effects and uses.
",https://github.com/belainehi/UC_Hackaton_Prescription_tracker,https://youtu.be/GpBkNdpf0To,"","java, android-studio, visual-studio, json, apa",,Berea College,3,755-8,Berea College,"","",Blockstack
Drowsiness detection,https://revuc-ix.devpost.com/submissions/142982-drowsiness-detection,Submitted (Gallery/Visible),Pending,,02/23/2020 10:08:47,"Inspiration

Occurrences of many road accidents because of minor issues like sleepiness and fatigue. There were many cases of accidents that took place in remote areas and the person was not able to get help sooner. We want to address this problem with our model.

What it does

Our model detects the face of the driver and alerts the person if he/she closes eyes for more than 3 seconds. In addition, we designed an alert system that sends a notification along with their current location to emergency contacts if the person doesn't wake up for more than 10 seconds.

How we built it

We used OpenCV and dlib libraries to detect the facial features of the driver from the video stream. We took every frame of the video as an input image. We used 'Eye Aspect Ratio(EAR)' to determine the condition of the driver i.e, whether he is awake or sleepy. If the person closes eyes for more than 3 seconds we trigger a thread that starts an alarming sound. If the person doesn't wake for more than 10 seconds we used Twilio client to send a personal message along with location to his emergency contacts.

Challenges we ran into

We are new to image processing and we had to do research and learn how each library works and then implement it. We tried to develop an ios app for sending realtime location to contacts in case the person doesn't wake up for a long time.

Accomplishments that we're proud of

We are proud to be able to finish most of our application which we didn't expect to do so.

What we learned

We learned new concepts like video processing and face detection and also ios app development.

What's next for Drowsiness detection

In the event of failure to wake the driver, we thought we can at least save others traveling near this vehicle by alerting them. We can integrate this model with the vehicle and make all light flicker as an indicator of danger.
Currently, we are able to send location through IP which is not accurate. Using an app, we can send a precise location and users can set their own alarm tone and configure emergency contacts.

We added a demo video in this link
https://github.com/sravanthireddyaleti/Drowsiness-detection---Hackathon/blob/master/IMG_6931.MOV
",https://github.com/sravanthireddyaleti/Drowsiness-detection---Hackathon,,"Best Education Hack, Most Innovative Hack by UC Students (EECS GSA), Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third), Make the Customerâ€™s Life Easier (84.51), Best Data Collection Hack (CincyTech)","python, opencv, dlib, twilio, swift",,University of Cincinnati,2,801C-2,University of Cincinnati,"","",""
MoneyMan,https://revuc-ix.devpost.com/submissions/143023-moneyman,Submitted (Gallery/Visible),Pending,,02/23/2020 10:30:58,"Inspiration

The HTC-Vive and the 5/3 challenge with AR/VR

What it does

It is a game were the player navigates a maze collecting money tokens and running from financial irresponsibility.

How we built it

We made it by using the Unity IDE and and Visual Studio. 

Challenges we ran into

computer hardware issues, challenges with programming logic.

Accomplishments that we're proud of

getting the random map generation somewhat working, teamwork, and learning a new programming language in a short amount of time.

What we learned

We learned how to use the Unity IDE to help set up games for future projects.

What's next for MoneyMan

optimization and multi-platform support for other VR systems.
","",,Best Use of Immersive Technologies to Enable Consumer Financial Health (Fifth Third),"unity, vr, htc-vive, c#, mspaint, musescore, github",,"University of Cincinnati, University of Cincinnati Clermont College, Ohio Northern University",3,801M-1,"University of Cincinnati, Ohio Northern University","","",""
SeedSearcher,https://revuc-ix.devpost.com/submissions/143029-seedsearcher,Submitted (Gallery/Visible),Pending,,02/23/2020 10:33:19,"Inspiration

We know a lot of people who garden as a hobby, so we decided to make a project that could help people out while learning a few development tools along the way.

What it does

SeedSearcher takes the user's location or zip code along with an optional paramater of rainfall and contacts the openweather API to gather climate data about that location. It then uses this data to parse our database of plants to return a list of plants that would grow well in that climate.

How we built it

We built SeedSearcher as a full-stack application. We used React for the front-end and mongodb for the back-end. The back-end is hosted on Heroku and the front-end is hosted using Github pages with a domain we purchased from Domains.com.

Challenges we ran into

Most of the challenges along the way had to do with the fact that we were learning as we went. There were a lot of simple syntax mistakes and other little bugs, but the more we messed up, the more we researched and ended up learning. We really dug into the documentation for the tools we used to learn the ins-and-outs of how they work.

Accomplishments that we're proud of

We are most proud of writing a full-stack application and understanding the framework and interactions between the front-end and the back-end.

What we learned

We learned how to use React, mongodb, and node.js to effectively create a web app.

What's next for SeedSearcher

The next step for SeedSearcher would be integration with some sort of shopping API to provide users links to seeds for the plants that showed up in their query.
",http://seedsearcher.online,,"Best Design Hack, Most Innovative Hack by UC Students (EECS GSA), Best Domain Registered with Domain.com (MLH), Make the Customerâ€™s Life Easier (84.51)","javascript, react, node.js, mongodb, openweathermap, heroku, github, git, postman",,University of Cincinnati,1,801-18,University of Cincinnati,seedsorter.online,"",MongoDB
ai-donald,https://revuc-ix.devpost.com/submissions/143048-ai-donald,Submitted (Hidden),Pending,,02/23/2020 10:50:45,"     ___        ______     ____ _                 _  ___  
    / \ \      / / ___|   / ___| | ___  _   _  __| |/ _ \ 
   / _ \ \ /\ / /\___ \  | |   | |/ _ \| | | |/ _` | (_) |
  / ___ \ V  V /  ___) | | |___| | (_) | |_| | (_| |\__, |
 /_/   \_\_/\_/  |____/   \____|_|\___/ \__,_|\__,_|  /_/ 



https://github.com/JrodManU/ai-donald

Introduction: 
    This a text generator that tries to generate Donald's new Twitter based on his previous speech material.

Author:
    This project is done by Jared Robbins, Tanner Marshall and Taoqi Yang.

Description:
    We first collected big set of data of the Donald's past speeches and then built a machine learning model in tensorflow which is trained by 
the data set. Based on the model, we predict the next words using current and previous words. 
    In practice, we need to the user to feed a heading to start the model. After the execution of model, the generated text will be post to
twitter with id ""Ai Donald"" 

Possible improvement:
    Modify the algorithm and logic in the model to let it has a better prediction of the next word.

reference:
    The process in model building refers techniques shown on this website: https://www.tensorflow.org/tutorials/text/text_generation
    The picture of background refers to picture: https://assets.donaldjtrump.com/2017/web/hero_images/hero_marine_one.jpg
",http://jrodman.us/,,Best Data Collection Hack (CincyTech),"python, html, css, javascript",,"Ohio State University, The Ohio State University",2,"801E,-1",The Ohio State University,"","",""
Kids Eat,https://revuc-ix.devpost.com/submissions/143053-kids-eat,Submitted (Gallery/Visible),Pending,,02/23/2020 10:56:11,"Inspiration

John -  As a beginner in programming I was motivated by the team work and intense critical thinking that the team went used throughout the process.
Audrey - I was motivated to participate in this project because I'm from Appalachia and I know a lot about the food insecurity crisis that is present here. 
Shageldi - I was motivated by the initiative named Berea Kids Eat led by Grow Appalachia, a non-profit within Berea College. The initiative faces the problem of delivering kids free meals during the summertime because schools are their main outreach channels.

What it does

Our app notifies families that live below poverty line (30% in Berea community) of the free meal events for their kids in the town.

how we built it

John- I played a part in the front end development of the app. i.e from brainstorm the UI to programming it.
using built in tools like buttons, background color , Mapview , Textview etc.
Audrey - I helped with UI design and mapping out the features of the app

Challenges I ran into

John- as a beginner, One of the challenges I faced during the process  was working with Java as I do not  have in depth knowledge of java programming language.
Audrey - I definitely had issues with figuring out what information to include when mapping out, and what order to put information.

Accomplishments that I'm proud of

John-I am proud of the fact that we were able to build something, although we went through so many challenges.

What I learned

John- A broader experience of android Development using Java, and other technologies like working with google cloud specifically google maps APi, UI best practice for android development Firebase  for data base etc.
Audrey - I learned how to work quickly under a time limit, and also had my first main experience with UI design. 

What's next for Kids Eat

We are hoping to develop this further and polishing it to make it more usable in the coming months. We are hoping for it to work with the Facebook page that exists right now, or possibly replace it.
",https://github.com/ovezovs/Kids-Eat,," Best use of Google Cloud (MLH), Best Domain Registered with Domain.com (MLH)","java, firestore, firebase, android-studio",,Berea College,3,755-10,Berea College,https://rubberduckcodedebugger.tech/,"",Google Cloud
The Brave Little Toaster,https://revuc-ix.devpost.com/submissions/143055-the-brave-little-toaster,Submitted (Gallery/Visible),Pending,,02/23/2020 10:57:47,"Inspiration

Our previous hackathon, we built software, so we wanted to do something hardware based this time. Re-purposing something old seemed fun, so our mind landed on re-purposing an old VCR player and a toaster. 

What it does

It allows the user to enter their toast into the VHS slot of the player. They can then select the level of toasting they want on their bread, and then it will toast inside the player until ready, after which it will be dispensed back out the tape slot. 

How I built it

We gutted both the toaster and the VHS player, and salvaged the heating units from the toaster. The shell of the VHS was used to attach the heating elements over where the VHS tape would have been (taking appropriate precautions for the large increase in heat inside the unit). We used our raspberry pi to program the buttons and control when the heating elements would be on and off, and the dispense the toast after toasting for the appropriate amount of time. 

Challenges I ran into

The heat in and of itself was a challenge, so we had to make sure we took all precautions to avoid injury to ourselves or the risk of starting an electrical fire, and we had no issues emerge, so we mitigated this risk to our project. 
Another challenge was unfamiliarity with the devices we were tearing apart, both the toaster and the VCR had more complex internal mechanics than expected, but we were able to understand those and salvage what we needed and remove what we did not. 

Accomplishments that I'm proud of

Actually getting it to work! When we got our first piece of (only slightly crisp) toast, we felt like we actually had been successful in the endeavor. Having the raspberry pi controlling the elements inside of the VCR was an accomplishment as well, since it gave us much more control over the process flow. 

What I learned

Lots of things - python programming for the raspberry pi, electrical connections, and some inner mechanics of common (or formerly common) household devices. 

What's next for The Brave Little Toaster

Making us a well earned breakfast after we sleep this hackathon off, and then continuing as a memento to what our team was able to accomplish here today. 
","",,Best Design Hack,"python, raspberry-pi, vcr, servo, heating",,University of Louisville,0,801-13,"University of Louisville, University of Cincinnati","",Digi-Key Components,""
