Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,If You Submitted For The Domain.Com Prize What Was The Domain You Chose?,Please Enter The Discord Usernames Of All Your Team Members!
SecureTheTag,https://revuc-x.devpost.com/submissions/209549-securethetag,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 13:20:05,"Inspiration

A couple days ago were reading a passage in English about how social media presence is helping people such as small businesses and organizations make change. We thought back to this idea and were inspired to create SecureTheTag, especially after seeing the effect that the COVID-19 Pandemic has left on small businesses. Many small businesses have struggle to stay open during these difficult times due to less people being out. By using our tool, we hope small business owners can gain the social media traction they need to keep their doors open. Furthermore we hope to make the lives of marketers, business people, and influencers on social media easier, so they don't have to search for hashtags and decide which ones are the best themselves, instead they can rely and use the help of our app to decide.

What it does

Our hack, SecureTheTag, provides the most relevant and popular hashtags for Instagram posts, bringing in larger audiences that are more likely to interact with the userâ€™s content. All the user has to do is upload the picture that they want to post on Instagram onto our website. Then, the image is put through an image classifier that returns a list relevant trending hashtags (sorted from most relevant to least relevant) to use when posting the picture.

How we built it

We built the SecureTheTag tool using the Google Cloud Vision API and an Instagram Hashtag API. Using Javascript, we called the Google Cloud Vision API to use Google's Machine Learning model to classify the picture that the user uploads into labels. Using these generated labels we called a Hashtag API to generate related trending hashtags. Using our custom JavaScript algorithm on these APIs our code generates a list of 30 relevant trending hashtags sorted from most trending to least. We then implemented this JavaScript into the HTML and Bootstrap CSS to create our attractive and responsive website.

Challenges we ran into

One of the challenges we ran into when building SecureTheTag was implementing APIs. We have had no prior experience in using the APIs that we used, so it took some time to read through documentation and ensure we were using them correctly. Another challenge we faced was coding in Asynchronous JavaScript. The APIs we used were implemented asynchronously, meaning that we had to adjust our JavaScript methods and syntax accordingly. This was a very new concept to all of us considering we only learned JavaScript 2 weeks ago. One last challenge we ran into was making our website look good using Bootstrap. None of us had that much experience using Bootstrap so it was a learning experience for all three of us. Luckily, we powered through and were able to create a very attractive and responsive website!

Accomplishments that we're proud of

Some accomplishments that we're proud of are efficiently implementing our APIs into our JavaScript code through asynchronous JavaScript code. We are also proud of the fact that we were able to create such a great looking website using Bootstrap.

What we learned

Throughout the development of SecureTheTag, we learned a lot of new topics in programming. For instance we learned how to use REST in order to interact with our Google Vision and Instagram APIs and why they are useful. We're also really new to JavaScript, learning the basics about a week ago and this time we learned how and why we should use asynchronous JavaScript. The biggest thing we learned and dedicated most of our time to was how to design an appealing web page. We learned a lot on prototyping with different applications such as Adobe XD, Figma, and Bootstrap Studio, how to do animations with CSS, and other design concepts such as color schemes and the rule of thirds.

What's next for SecureTheTag

In the future, we would like to allow users to log in to the site using their Instagram credentials and even post directly to their page from our website. Unfortunately, Instagram has about a 2-week verification time frame so we were unable to implement it. We also want to eventually incorporate a database that will store recently generated hashtags so users can choose from an even larger selection, and will store data on the amount of hashtags that have been generated through our website.
Be sure to ""Secure Your Tag Online"" today at ""www.securethetag.online""!
","https://github.com/whyroland/SecureTheTag, http://www.securethetag.online/",https://youtu.be/HOE_tCNKyuQ,"Best Domain Registered with Domain.com (MLH), Best use of Google Cloud (MLH), Best Design Hack, Most Creative Hack, Wolfram|One and Wolfram|Alpha Pro (Wolfram)","node.js, express.js, ejs, javascript, css3, html5, google-cloud, googlevision, rapidapi, bootstrap, bootstrapstudio",,Bridgewater-Raritan High School,2,https://securethetag.online,"ahaan#9291, Aryan#9336, roland#9150"
Untitled,"",Draft,Pending,Manage team,02/20/2021 13:52:47,"","",,"","",,University of Cincinnati,0,"",""
Autonomous UV Sterilization Robot,https://revuc-x.devpost.com/submissions/209586-autonomous-uv-sterilization-robot,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 13:56:45,"Inspiration

Through our time during the Pandemic, all of us learned a lot about how easy it is to spread a virus. My teammate and I wanted to find a way in which we reduce the chances of this happening as much as possible, with as little reliance on people themselves. Not only because they themselves could be carrying the virus, which is still a very important element, but also because they could very easily get the virus while cleaning or working in such environments.
To deal with this problem well, we decided to work on making the process of cleaning the environment as autonomous as possible.

What it does

The Autonomous UV Sterilization Robot autonomously travels within a room, reading its way through QR Codes placed by the user, informing about where to go. On it, are UV tube lights, that through a relay are turned on. There is a camera on board that is used to not only read the QR code's output but is also used to run a Computer Vision algorithm that searches for humans. If a human is spotted, the UV tube lights are turned off and the machine stops to ensure that no humans are harmed.

How we built it

We used a pre-welded frame. On the frame, we attached a UV tube light, soldered on 4 motors, and made space for the other electricals on the top. The brain of it all is the Raspberry Pi. On the pi, we wrote a program in Python, making use of the OpenCV library for Computer Vision and the Raspberry Pi library to handle the motors and the instructions.
Together, through the camera, we get the input of the QR code with the directions. The Pi then processes this input and sends the commands based on a logic we wrote to make it move in the desired direction. This is done to avoid obstacles and stay within the path defined by the user through the QR code.

Challenges we ran into

We had to learn a lot of the hardware and the Raspberry Pi's working. Having not worked with it besides some very basic things, we had to learn it practically from scratch to implement something fairly complex.
Along with this, the motor drivers were new to us too. Getting them to work and effectively get the robot moving was a challenge.

Accomplishments that we're proud of

We were able to get the code working, and handle a project we did not think we could do within 24 hours. From soldering the motors to testing and writing a lot of the code from scratch, we gave it our best shot.

What we learned

We learned a lot about Computer Vision, interacting with a Raspberry Pi, Running algorithms in conjecture with one another, and a lot about hardware. From soldering on and taking off a lot of motors to find the right ones with the right torque, to ensuring that the tubes were in the right place and were safe, along with acrylic for the electricals to avoid any short-circuiting.

What's next for Autonomous UV Sterilization Robot

We plan to pitch this idea to schools and offices/workplaces. During the time the places are empty, leaving the bot inside along will take care of ensuring that the risk of not only Coronavirus but a lot of other viruses, bacteria and diseases is mitigated.
",https://github.com/gaurangbharti1/opencv_detection,https://youtu.be/pMI1ebTBexw,"Best Hardware Hack Sponsored by Digi-Key (MLH), Best Education Hack, Best Design Hack, Most Creative Hack, Making the Customer's Life Easier (84.51)","raspberry-pi, python, opencv, pyzbar, gpio",,"University of Cincinnati, University of British Columbia",1,"","GBHacker23#5176, hypercosmac#9173"
The Covid Dashboard,https://revuc-x.devpost.com/submissions/209597-the-covid-dashboard,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 14:08:49,"Inspiration

I find it very cumbersome to access relevant covid data from popular resources. Websites like the CDC website provide too much data. I think most of us want to see a few data points. How many new cases are there, how many vaccinations, and what the trend is currently, and how does it affect me economically.

What it does do

This dashboard displays covid data, vaccinations, and economic insights. Provides visual data and can provide information on each state. 

How we built it

This is a full-stack project built using React.js, Node.js, and PostgreSQL. My API connects to Covid's Project API database that provides daily updates in JSON. Unfortunately, this API does not provide vaccination data. I had to create my own API for vaccination data to populate the dashboard with. I also created a database with sample data provided by 84.51 and 5/3 banking to get economic insights into how covid has affected the economy. I used express.js to construct the server.  The front end queries the server for information such as aggregate sales in a particular category, etc. 

Challenges we ran into

I learned how important it is to clean data. Some of the csv's had trailing spaces which made it very difficult to identify why the queries were not working. I ran into massive time constraints for this project and had to resort to very bad coding practices and file structures. 

Accomplishments that we're proud of

Built a full-stack web application in one day that also provides data analytics into consumer data provided by 5/3 banking and 84.51. In just one day, I had to track down an API that is both accurate and up to date. I had to track down vaccine data in a CSV format and create a PostgreSQL database to perform queries on.  I created an API, complete with endpoints, to link all the data together and provide a service to my front-end react dashboard. The project is version controlled and the source code can be found on GitHub in the link provided before. 

What we learned

I learned how to set up a RESTful API in node.js by scratch using express.js.  I learned that it takes 90% of the time to figure out 10% of the problems. I discovered the importance of reading documentation, searching google, and asking mentors for advice. The product can be messy, the product can be badly designed, but put the product out. Iterate and iterate and iterate. LEAN and AGILE all the way. 

What's next for The Covid Dashboard

Currently, I'm an intern for GE Aviation. I'm interested in how the increase in vaccinations will affect the confidence of people in air travel. I would like to scrape TSA data using beautifulsoup to track the daily difference in flights between today and 2019. I'm also taking a machine learning class this semester. I would like to incorporate more advanced machine learning algorithms in my analytics. I'd also like to have more detailed insights, like how the data changes based on zip code. I' would also like users to choose what analytic conditions they would like to choose. The app will then predict expected future outcomes as well. 
","https://github.com/jfenglu814/covid-data-tracker, https://github.com/jfenglu814/covid-data-tracker-api, https://github.com/jfenglu814/covid-data-tracker/projects/1",https://youtu.be/MvqwOMoeZh4,"Best Design Hack, Most Innovative Grad Hack (EECS-GSA), Show Me the Money! (Fifth Third), Making the Customer's Life Easier (84.51)","javascript, react, node.js, express.js, postgresql",,University of Cincinnati,0,"",Jeffrey Feng Lu#3218
Smart Garage System,https://revuc-x.devpost.com/submissions/209615-smart-garage-system,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 14:31:52,"Inspiration

In today's world automation has become an important thing in everyone's life. So, we decided to build an intelligent garage automation system.

What it does

Nowadays, Garage security is very vulnerable given the amount of theft activity that has gotten an increment over the last couple of years. Through this Smart IOT Garage Door System, we will mitigate a lot of risks and effort that a person has to go through while trying to get his/her car in or out. The Smart Garage system can automatically open the Garage door by facial recognition and number plate reading. Our system consists of an app which has been made with MIT App Inventory and through which manually, the Garage door can be opened and closed and also, we can control the lighting system of the Garage. Another feature is also included in this app with which we can see the last image of the person whose was face was registered during the opening of the app. Also, when the smart garage system is activated, a unique link is generated every time with which we can see the live feed of the garage front through the camera and also through any CCTV cameras if connected.

How we built it

We have used pretrained images of owner and encoded it with face recognition package of python. Whenever a new person comes in front of the camera, the camera will detect the person and the frame will get screenshotted. The required frame will get encoded by the facal recognition package and it gets matched with known pre-trained encoded images. If it matches then the frame will become black and white and the person's name will appear on top of the box drawn on the detected face otherwise it will show unknown. If it gets matched then it will make the GPIO pins of the relay module of Jetson Nano high making the garage door open. An app is being made with MIT app inventory. It consists of 5 buutons, 2 of which will open and close the garage manually, 2 of them will control the lighting system of the garage and there will be another button which will show the image of the last person whose face has been recognized. The pytesseract package has been used to decode the number plate of the car. If the decoded string through OCR gets matched with the owner's number plate in the python script itself, it will make the GPIO pins of the relay module of Jetson Nano high making the garage door open and it will automatically close after a certain amount of time. Flask has been used for livestreaming the feed that the camera will provide and in that face detection will also work.

Challenges we ran into

There are many challenges that we faced while building the project. Connecting the IBM cloud with Jetson Nano was a tough challenge. Also, as it is a preliminary prototype, there are certain things we have to look out for. The device will also respond when any known image of any trained person or number plate is brought to its sight. We can overcome this issue by focusing more on the OCR (Optical Character Recognition) part and on the facial recognition part with some extra eye-blinking cascades, etc. Also, the live stream is only possible in the local network and the user and the system must be connected over the same network to get the live video feed from the door cam. Again, the facial recognition part is a bit slow. And, the accuracy of the number plate detection OCR plate is only 60% for now i.e. according to our tests, it can detect 6 out of the 10 number plates correctly. But we can again improve it by rigorous training of the ML model.

Accomplishments that we're proud of

We are actually proud of what we have accomplished. We created the prototype in a very small amount of time. 

What we learned

We learned about time management and quick brain storming of ideas.

What's next for Smart IOT Garage System

We will improve our system more efficiently in the near futur. We want to link our project with voice assistants like google assistant, amazon alexa, etc in future. We are keeping the project open source and everyone will be welcomed to contribute in our project.
",https://github.com/Ayanghosh-agno/Smart-IoT-Garage-Jetson-nano-,https://www.youtube.com/watch?v=ODm2gdt_G60,"Best Domain Registered with Domain.com (MLH), Best Hardware Hack Sponsored by Digi-Key (MLH), Best Education Hack, Best Design Hack, Most Creative Hack, Most Useless Hack, 1st Place Capture the Flag","ibm-cloud, node-red-flow, mit-app-inventor, python, flask, jetson-nano, 8-module-relay, raspi-v2-camera, android-device",,"Maulana Abul Kalam Azad University Of Technology, University of Burdwan",1,http://allknowinggarage.tech,sayanta66#9409 agno#6203
Untitled,"",Draft,Pending,Manage team,02/20/2021 15:53:00,"","",,"","",,Nashua High School South,0,"",""
The Timeless Clock,https://revuc-x.devpost.com/submissions/209693-the-timeless-clock,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 16:47:51,"Inspiration

Our inspiration came from the fact that we wanted to create something that was simultaneously useful and not useful at the same time. We also wanted to compete in the ""most useless hack"" prize category and looked into how we can over-complicate a simple tool to make it inefficient.

What it does

The timeless clock tells you the current time relative to the time of a past event. For example, it'll tell you that the time is 57 days, 4 hours, and 30 minutes relative to the start of the 2010 winter Olympics. This way, it is able to tell you the current time without telling you the current time!

How we built it

We compiled a database of past events and their date+time. Then we built a backend that calculates the time difference between the current time and the past event. We then have a website (frontend) to display the time relative to the event and to change the background image

Challenges we ran into


Finding data of events that had date and time (HH:MM:SS)
Connected the backend to the frontend with Flask


Accomplishments that we're proud of


Having a responsive frontend and a time counter
Having an idea that's so stupid that it works


What we learned


Learned how to make a responsive frontend
Learned how to connect front and backend using Flask


What's next for The Timeless Clock


Make it work for times/events that are in the future
Make it work with times/events that happened in BC (before AD)
Make events editable so people can use it as a deadline counter

",https://github.com/ryan-lam/TimelessClock,https://youtu.be/C5vK3TcPIcA,"Best Education Hack, Best Design Hack, Most Creative Hack, Most Useless Hack","python, html5, css, flask, javascript",,"University of Waterloo, Western University",2,"","RyanRageboi#8424, BX Jax #9959, Ming #1395"
Water My Plants: An Automated Way to Care For your Greens,https://revuc-x.devpost.com/submissions/209759-water-my-plants-an-automated-way-to-care-for-your-greens,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 20:22:57,"Inspiration

In our fast-paced world, it is easy to forget to complete simple tasks. We are plagued with questions such as â€œdid I run the dishwasher?â€, â€œdid I shut the garage door?â€, â€œdid I submit my essay last night?â€. One of the most common questions one asks themselves is â€œdid I water my plants?â€. It is common for a person to forget to add watering plants to their daily routine. This device was created to help combat this issue. The Water My Plants device will assist in keeping your plantsâ€™ watering schedule consistent and reduce the chances they will become dehydrated. 

What it does

This project monitors the moisture level of the soil in a potted plant using a hygrometer, and indicates the moisture level using an LED indicator as well as a LED screen. The user can also input how much water their plant needs using the GUI. This input indicates how long to go in between each watering instance. Based on the moisture level and how much water the plant needs, the pump will activate, watering the plant for a short period. A second hygrometer is also used to measure the water level used for the pump, and a second LED is configured to indicate the level to the user.

How we built it

This project was created with an Arduino, the Processor GUI creator, and external hardware including a motor, a pump, LEDs, an LCD and a hygrometer. The external equipment was wired on a breadboard and connected to the Arduino. The Arduino code was written in C++, and contains code which may read the hygrometer and change the values of the LEDs and LCD based on values read from the hygrometer and the GUI. The GUI created with processor has several functions which may interact with its buttons and send data to the Arduino. The GUI sends commands to the external hardware, which can read and control data coming from the external equipment.

Challenges we ran into

Part of the original idea was to have a light sensor that could tell the user if the plant was getting enough sunlight. Unfortunately, the hardware used for this portion was not compatible with the Arduino board we are using, so it was unable to be configured. Another part of our original idea was to connect to the internet to interface with the Arduino, and to configure the date and time used to space out watering. None of the team members were comfortable putting their personal information into the site, however. To remedy this, the Real-Time Clock was used to keep track of time, and a GUI was created using the Programming tool. Further, a challenge faced while completing this project was working on a hardware project remotely. Since this was not a web-based application, we could not use a host such as GIT to work on code in parallel. To overcome this issue, the team used the ""Request Control"" function on Microsoft Teams to create, run and edit the code associated with the Arduino and the Processor GUI. Overall, this worked very well, and all team members were able to complete their tasking.

Accomplishments that we're proud of

We are very proud of this project, but we are particularly proud of our GUI which changes settings on the Arduino. We also enjoyed using components that were new to us, such as the hygrometers, RGB LEDs, and the OLED screen. We are also happy that we got our project to work as intended despite the struggles of working on a physical project remotely.

What we learned

None of our group members have ever developed on an Arduino before, so we learned how to use the Arduino IDE and Arduino Due. This involved a lot of research and debugging while under a time constraint. This was also the first time any team member has worked with Java or the Processor GUI creator. Throughout this project, we learned the syntax of Java and how the use the Processor GUI to make an interface that can interact with an Arduino. Another important skill we learned was how to send and receive data between the Arduino and the Processor GUI. One functionality that was ultimately not incorporated was the ability to receive a value from the Arduino and print it on the processor GUI. The team also learned about the challenges of working on a hardware project remotely, and how one is able to overcome them. 

What's next for Water My Plants: An Automated Way to Care For your Greens

The project has many aspects that can be improved upon, primarily the customizability. Right now there are only preconfigured options that the user can select for watering their plants. In the future functions can be added to the GUI that allow the user to configure the moisture settings, as well as the watering intervals, to make the program better suit any plants the user may have. Adding a â€œDays since last wateredâ€ indicator to the GUI would also be a big improvement for the user, as they would be able to check if the plant had been watered appropriately.

Team member contact information

Daniel Mraz - mrazdl@mail.uc.edu
Andi Thomas - thoma4a2@mail.uc.edu 
Sam Heyl - heylse@mail.uc.edu
Nick Heyl - heylna@mail.uc.edu
",https://github.com/thoma4a2/WMP_Hackathon2021,https://youtu.be/MUBzzGGBhyw,"Best Hardware Hack Sponsored by Digi-Key (MLH), Most Innovative Grad Hack (EECS-GSA)","java, c++, motor, leds, arduino, processing, gui, pump, hygrometer, lcd, realtime-clock",,University of Cincinnati,3,"","Ainikkah#4205, doge#1273, nick483#4422, Themagicman16#5726"
Gungho,https://revuc-x.devpost.com/submissions/209806-gungho,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 21:32:06,"Inspiration

In this pandemic, a lot of people are working or studying from home, deprived from social interaction and physicals activities. This is a frightening situation especially for young people who are starting to feel isolated. In addition, it had been proven that doing special poses, like power poses or Yoga can improve mental health, physical health and self-esteem as well! That's why we've created Gungho.
Through Gungho we bring people together and in a safe way, just like they are in the same room!

What it does

Gungho, is a game where you invite people to try a series of human poses, in a group call, the person that imitates the pose the best is the winner. The series of challenges range from, pop poses, yoga poses, famous movies like Kung fu pandas and even Jackie Chan iconic martial arts poses etc !! It is a social multiplayer game powered by AI (tensorflow), that is all about having fun, socializing and staying physically active and mentally healthy.

How we built it

Our app is built on top of TenorflowJS using Posenet model and React JS for frontend. We used Web RTC for the video calls and socket.io to synchronize the score between the players.

Challenges we ran into

We faced problems optimizing the model and find a good balance between accuracy and speed.
We've also had some troubles managing complex components.We  also ran into trouble with collaboration as many of us were in drastically different time zones. Eventually, we saw this as an advantage as we were able to work 24 hours around the clock. It was also amazing to collaborate with people from different countries.

Accomplishments that we're proud of

We are proud of how much we accomplished during this time frame. We've learned about new tech stacks and all of us didn't even know how to build a working MVP before this! :)

What we learned

TenserflowJS, PeerJS and many tips of React.

What's next for Gungho

Enhance some functionalities, like comparing the pose with the player's pose, a ranking board that shows the best players and cool AR filters like hats, moustaches, skins for players !
",https://github.com/shannon-c/GungHo-,https://youtu.be/dt8GCl7n4Ms,"Best Education Hack, Best Design Hack, Most Useless Hack, Most Innovative Grad Hack (EECS-GSA), 1st Place Capture the Flag","tensorflow, react, webrtc, node.js, socket.io",,"Epsom College, National Institute of Technology, Tiruchirappalli",1,"",shannon-c and rakshaa2000
InvestX,https://revuc-x.devpost.com/submissions/209922-investx,Submitted (Gallery/Visible),Pending,Submit,02/20/2021 23:59:50,"Inspiration

With meme stocks taking over social media recently, many of millenials have jumped into the world of finance without having much investing experience. Millennials, as they care about making an impact, also want to know how they can invest sustainably. But as a first timer, they donâ€™t know where to start and which company they should invest in.

What it does

So thatâ€™s how we built InvestX, a platform that allows millenials to easily find and invest in companies based on the issue they care about. We aggregates realtime stock data along with articles about the impacts a company has on the world to determine the metrics score based on their preference.

So how does it work?


The user picks the impact that they want to focus on from a choice of broad impact(which supports ESG), or climate or social impact.
Then based on that preference, we find articles of each company relating to that preference and use machine learning to recommend top 5 stocks which are top performers in that impact category.
They choose the company and can find out more about how that company stacks up against others in various ESG dimensions.


Features


Dynamically updated chart with the latest stock data
All the latest market data and ESG stats for the the S&P500
Set your ESG preference on your profile
Pull articles for the company based on your ESG preference
Search for stocks across the market


ESG Dimensions


Environmental impact
Labor Practices
Social impact
Gender equality
Pay equality
Corporate activity impact
Public welfare score
Long term profitability
Short term profitability


How we built it


Nextjs/React = FE
Serverless functions w/ Next = Part of backend (firebase admin sdk)
TailwindCSS = Styling
Figma = Prototypes/Mockups/Designs
Firebase Auth = Authentication and Authorization (if we do group buy)
Firebase Firestore and Datastax = Central Database
Flask Backend = Central Backend
Selenium = Web Scraping
Yarn
Alpaca for Market data, not alpha vantage or polygon.io
Refinitiv and RapidAPI for ESG data
newsapi.org


Challenges we ran into


Alphavantage ratelimiting so had to use alpaca
Polygon.io free API is only limit 5
SearchAPI is only on alphavantage
New to NextJS
News API Rate limiting


Accomplishments that we're proud of

Best project we've got so far in hackaton, so proud of our team being able to finish all features in short amount of time (24 hours only).

What we learned

Learned a lot of new tech stacks

What's next for InvestX

Adding a trading function, impact categories, link to government entities that regulate environment data.
","https://github.com/jessehu312/investx, https://investx.tech/, https://investx.vercel.app/",https://youtu.be/iMJnRGgpMTk,"Best Domain Registered with Domain.com (MLH), Best use of Google Cloud (MLH), Best use of DataStax Astra (MLH), Best Education Hack, Best Design Hack, Most Creative Hack","nextjs, react, tailwindcss, firebase, datastax, flask, selenium, yarn, firestore, alpaca, newsapi",,"north china university of technology, University of Washington, Florida Institute of Technology-Melbourne",3,https://investx.tech,"prismnavy#5085 , Allegro145 #0583 , Aryan Vichare #8618 , muntaser #9731"
