Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count
glmjfv,"",Draft,Pending,Project overview,02/26/2022 12:01:15,"","",,"","",,University of Cincinnati,0
Meow-Piano,https://revuc-xi.devpost.com/submissions/310558-meow-piano,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 12:13:26,"Inspiration

Everyone loves cats, and everyone loves music. We hope to build an automated model to convert piano clips into cat singings, to produce very cute and intereting songs!

What it does

It reads in a clip of piano performance, identify the notes, and convert each note into cat sound.

How we built it

For the backend, we use a model ""piano_transcription"" from ByteDance to locate the notes in the performance. We manually collect several cat meows and caliberate their pitch. For each note, one meow is randomly picked and tuned to that note. Finally, all tuned meows are concatenated into a complete song.

For the frontend, we use d3.js for the interface. We draw a piano keyboard which accepts a midi json from the backend and generates note animation. When each note is hit, the corresponding key turns to pink, and a little cat pops out from the keyboard, just like a fountain!

Challenges we ran into

The biggest challenge is tuning the cats' meows. Cat meows very similar and in a very narrow pitch. For very low or high notes, shifting the meow to that pitch led to very jarring sound. We used several tricks to control that loss of harmony.

Another big challenge is the frontend-backend interaction. The song we generate is in .wav file, yet Chrome automatically converts it into small .mp3 file and the smooth cat sound becomes very rough. We spend a lot of time looking for ways to preserve the sound quality.

Also, the piano transcription model is large and consumes a lot of computing resource, which makes it even more difficult to deploy online.

Accomplishments that we're proud of

We finish the entire project in 24 hours!!!

This project is more complicated than we thought. On the backend, we have to find ways to shift the pitch of meows, and adjust their length without affecting the tone. We also have to deal with the wide range of piano note pitch. Sometimes there are several cats singing simaltaneously, and we had to design algorithms to make it sounds harmonic.

What we learned

We learned a lot about signal processing and frontend design.

What's next for Meow-Piano


Add more animal sounds, such as dog barks;
Make the frontend piano interactive -- users can play the cat piano with their keyboard;
Find a better and cheaper server to host the backend :(

",https://meow-piano.tech/,https://youtu.be/vgveh-92Aog,"Best Design Hack, Best Domain Registered with Domain.com (MLH)","python, pytorch, html, jquery, d3.js, flask",,"Peking University, Tsinghua University",1
OBLIVISCOR,https://revuc-xi.devpost.com/submissions/310606-obliviscor,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 13:38:20,"Inspiration

As much as I love coding, I love art too (as you can probably see by the featured pixel art). My biggest motivator in creation is the feeling that is invoked, whether it be for me or an outside viewer. That intrinsic motivation pushes me to take works that make me feel something, and create a piece that is even better. Something that I happened across during my brainstorming phase was this quote by David M. Romano:


If tomorrow starts without me, and I'm not here to see, If the sun should rise you find your eyes all filled with tears for me; I wish so much you wouldn't cry the way you did today, While thinking of the many things we didn't get to say.


This, along with me remembering the beauty that is the game Death and Taxes, made me want to create something that dealt with death. Thus, OBLIVISCOR was born. Here is the summary I have in my README on github as well:


Obliviscor is Latin for ""I lose remembrance of""â€”I forgot. This game is the beginning of the journey of a soul who forgot who they once were, and tries to understand where they are supposed to go. It's very much a demo, but it has the foundations to scale it up. This is the first time I've ever used pygame, and I enjoyed doing pixel art for the first time as well.


I also took heavy inspiration from Greek/Roman/Egyptian mythos, with the ferryman being the only way to rebirth but with a monetary cost.

What it does

This hackathon I valued my own learning over the capabilities of the hack itself, so the impact is lower this semester. OBLIVISCOR runs from the first awareness of the main character, to the inevitable end. It has two different choices, and two different endings depending on the decisions you make. It is an application, so there are visuals as well.

How we built it

I coded everything in VSCode, utilizing the pygame library. I also made my own assets (pixel art) in Pixelable on my iPad. I wasnâ€™t very knowledgeable in python so I just kept all the functions in the same file, but I tried to break the code up as much as possible to be more readable. I also commented on the uses for everything in the main.py file as well. The game is rather linear, with a quit mechanic and text render being continuously called upon to advance the game. The space bar is used to advance the game when there is no decision, and the left/right arrow keys are used when there is a decision. ESC can be used to exit the game at any time. I also changed the font depending on who was talking.

Challenges we ran into

I am not familiar with pygame at all, so a lot of my trouble came from not knowing what was available to me in that library. I also didnâ€™t know what I was going to do nor did I have a team, so there was a lot of brainstorming just in my head. If I improve on this game, I will take input from other people. A small challenge but one that lasted hoursâ€”I couldnâ€™t figure out why bool decision wouldnâ€™t return from a function, even though taking it one line at a time it seemed to work. Lo and behold, I forgot that I had nested functions, and that decision only made it through the one loop. Luckily I figured it out after testing a few things, but it was a problem I was pondering for hours while finishing the rest of the code.

Accomplishments that we're proud of

I am very proud of myself for doing multiple completely new things. I have never done pixel art, and I have not ever used pygame (Iâ€™ve only used python in the engineering class ENED, as well, so itâ€™s not my best). This is also only my second hackathon and my first by myself, so I think I did a good job going out of my comfort zone while still making something that works.

What we learned

I learned pygame, more python, pixel art, some of the 2-D Unity engine (in the brainstorm phase, I spent maybe 2 hours thinking about making a game in Unity), how to make my (first!) solo application, and more.

What's next for OBLIVISCOR

I definitely want to expand the game: add more characters, more streamlined dialogue code, maybe an inventory, the like. I really think this game has potential. While writing this up, I realized that this could be like a text-based Hades as well, if I wanted to go that direction in the future. Also, this kind of mirrors The Sixth Sense if it was in the underworld, so thatâ€™s cool.
",https://github.com/faithrider/OBLIVISCOR,https://youtu.be/GdOx_mk0tY8,"Best Design Hack, Most Useless Hack","python, pygame, vscode, pixelable",,University of Cincinnati,0
Barter Books,https://revuc-xi.devpost.com/submissions/310610-barter-books,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 13:41:30,"Inspiration

I was part of a book club in which I could contribute just one book, but I would get a new book from someone each month. It was a book rotation thing and as new members joined, existing members would get new books. This app does the same thing but a little differently. 

What it does

This app does the same thing but a little differently. You can contribute as many books as you want and get as many as you want and choose them yourself in a given location. You can meet up, socialize and collect the books within your own locality/school.

This app aims to reduce the cost of buying books and also aims to connect people who want to read and create a community.

How we built it

This app is built as a mobile app using expo-CLI, react native, and typescript. 

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for Barter Books

This app could further go to have forums to discuss your books and what you felt after reading them. It can also have a trail to show who has read the book and what they think about it.
",https://github.com/NithyasriBabu/BarterBooks,https://www.youtube.com/shorts/yMUYgcDx10Y,"Best Educational Hack, Best Social Impact Hack, Best Use of Google Cloud (MLH)","expo.io, react-native, google-books-api",,University of Cincinnati,0
Otaku Outages,https://revuc-xi.devpost.com/submissions/310620-otaku-outages,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 14:20:37,"Inspiration

Our inspiration was our love for Anime and the frustration we feel when the top streaming services are down.

What it does

It monitors the top Anime Streaming sites and displays easy to digest information on the current status of their site. 

How we built it

We are using a Flask based web server hosted on AWS EC2, utilize Google Cloud for Database, and domain.com for an amazing domain name!

Challenges we ran into

The biggest challenge we ran into was communicating between two separate Cloud Platforms

Accomplishments that we're proud of

Our easy to read and enjoy website, that has clear and concise information on the current status of your favorite streaming services! We are also very proud of connecting the two cloud platforms to communicate flawlessly with each other. 

What we learned

We have learned a lot when it comes to Web Development, learned an insane amount about Flask, as well as communicating between cloud platforms. All of this comes perfectly together and helped us create our project.

What's next for Otaku Outages

New sites, and potentially customization to choose which sites you want to monitor!
","http://otakuoutages.tech, https://github.com/noUsernamesLef7/otaku-outages",https://www.youtube.com/watch?v=au5GiN6S9CY,"Best Educational Hack, Best Design Hack, Best Social Impact Hack, Most Useless Hack, Best Domain Registered with Domain.com (MLH), Best Use of Google Cloud (MLH)","python, amazon-ec2, amazon-web-services, google-cloud, flask, github, domain.com",,Western Governors University,2
Untitled,"",Draft,Pending,Manage team,02/26/2022 14:39:06,"","",,"","",,Central University of Rajasthan,0
Homey Carnival,https://revuc-xi.devpost.com/submissions/310634-homey-carnival,Submitted (Hidden),Pending,Submit,02/26/2022 14:54:22,"Inspiration

Everyone is excited when they hear the word ""Carnival"". It is the event for people to celebrate and enjoy themselves. For homeless people, they don't have that luxury. We want to help homeless people feel happy and welcome. Thus, we want to organize homey carnival events with free food for homeless people. In order to do so, we need to have donors who donate food and volunteers who help us organize the events. We also want to reduce food waste by getting redundant food from donors and give to the poor.

Thus, we built a site called ""Homey Carnival"". Our site helps to recruit volunteers and get donate or redundant food. Further, we want to organize carnival events with free food for homeless people.

What it does


Our site allows people to sign up to become our volunteer organizers and work for the carnival to serve food for homeless people
Our site allows people to donate food
Our site has a scanning barcode models for donors to scan the bar of their food and classify the food based on that.
Our site organizes free Food Carnival for Homelessness and bring smiles to them.
Our site reduces food waste by collecting redundant food from donators and give them to the poor


How we built it


We have a Twilio chatbot that collects customers contact info for customer representatives to contact for further assistance.
We built our site with HTML, CSS, and Javascript
We built our scanning AI machine learning model with OpenCV and Python to spit out the code
We stored our code in Github and we used Github to deploy our site.


Challenges we ran into

We had challenges to finish everything in a limited amount of time. We also had to build the machine learning model and tested to bug to make it work and scan the bar codes.

Accomplishments that we're proud of


We were able to build the Twilio chatbot
We were able to design and set up our Homey Carnival site
We were able to build a machine learning model to scan the food bar code and spit out the code.


What we learned


We learnt to develop Twilio bot
We were able to build a reactive site
We learnt to use OpenCV and machine learning to scan bar code and spit out the result


What's next for Homey Carnival

We want to provide more services to help the site Homey Carnival up and running.

Domain

http://homeycarnival.space/

Twilio

We were able to build the Twilio chatbot to chat with customers and gather contact information of the customers
","http://homeycarnival.space, https://github.com/Viclinh/Homey-Carnival",https://youtu.be/AhcvY0yfEZs,"Best Educational Hack, Best Design Hack, Best Social Impact Hack, Most Useless Hack, Digital Futures Innovation Award (for excellence in technical demonstration), Best Domain Registered with Domain.com (MLH), Most Creative Use of Twilio (MLH)","ai, css, github, html, javascript, machine-learning, netlify, opencv, python, twilio",,Wilmington University,0
CyberCat,https://revuc-xi.devpost.com/submissions/310641-cybercat,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 15:06:50,"Inspiration

Recently, there have been a lot of news regarding cybercrime and cyber attacks, so I decided to see what kind of encryption techniques are used by companies in this day and age.

What it does

CyberCat is a very simple app which has six different pages for six of the most common encryption techniques, with pictures and a short description for each of them. All of these pages are neatly arranged and easily accessible through the home menu.

How I built it

The project was built entirely using Flutter and Android Studio, using the Dart programming language. The main menu and home screen were built first, after which it branches off into the six individual pages for each technique.

Challenges I ran into

I started learning Flutter only during the hackathon. It took a significant amount of time to get the basics down and learning a few of the intricacies of Dart and Android Studio.

Accomplishments that I'm proud of

The app is completely stable and the project is complete and coherent, despite me learning Flutter only during the hackathon. I am also proud of the logo I created for the app, which is simple and easily identifiable.

What I learned

I learned the basics of Flutter and gained a basic understanding of the scope of Android App Development. 

What's next for CyberCat

Since I just started learning Flutter, I could not get into much of the advanced techniques, which leaves a lot of room for improvement. There could be more encryption techniques added to the app, which would make it a collection of data for anything related to cybersecurity techniques.
",https://github.com/SrthkS/CyberCat,https://youtu.be/EkQfIp6qR04,"Best Educational Hack, Best Design Hack","flutter, dart, photoshop, android-studio",,University of Cincinnati,0
Watch Party,https://revuc-xi.devpost.com/submissions/310671-watch-party,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 16:53:15,"Inspiration

Who doesn't love a good movie? Most streaming sites can recommend you good movies based off of similar users, but what about being able to connect with those other users?

What it does

Watch Party is a website where users can log in, write movie recommendations, and then see movies recommended to them based on similar user's tastes. Subsequently, you can connect with other users by looking at their data points in fun, interactive graphs.

How we built it

I used TigerGraph and Graphistry for the data and streamlit to build the website.

Challenges we ran into

I ran into a challenge where the graphs would not load based off the user's ID, and still haven't been able to fix it.

Accomplishments that we're proud of

I am proud that I was at least able to get so much of this project done in 24 hours!

What we learned

This was my first time using TigerGraph, JSON files, and Graphistry!

What's next for Watch Party

Fix the bug, and then make the user interface easier to use.
",https://github.com/Tabaxi3000/WatchParty,https://youtu.be/7GewHc_HbJA,"Best Design Hack, Best Social Impact Hack, Most Useless Hack","python, pandas, tigergraph, graphistry, streamlit",,Friends Seminary,0
UkraineAlert,https://revuc-xi.devpost.com/submissions/310682-ukrainealert,Submitted (Gallery/Visible),Pending,Submit,02/26/2022 17:07:52,"Inspiration

We found a tweet from a Ukrainian thanking a news page for their updates during this wartime (https://twitter.com/MVG_Charting/status/1497513162391887877). We wanted to expand on that and create a service from which Ukrainians could receive SMS news updates. 

What it does

Allows users to sign up for an SMS service that gathers updates from tweets surrounding the Ukrainian crisis. 

How we built it

HTML/CSS for front end, node.js for backend. Used Twilio API for SMS notifications and Twitter API for getting live tweets. 

Challenges we ran into

Twilio API trial would only allow us to send to one phone number.

Accomplishments that we're proud of

Applied a lot of skills from a lot of different areas to make a functional system. 

What we learned

Teamwork and communication

What's next for UkraineAlert

Twilio sponsorship to leverage this to more users. 
",https://github.com/JoshAnness/Ukranian-Live-Updates,https://youtu.be/XMSd3OvfuB0,"Best Social Impact Hack, Most Creative Use of Twilio (MLH)","javascript, html, css, node.js, api",,"University of Cincinnati, Ohio State University",2
