Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Mlh Points Question,Domain.Com Domain Names,Tell Us How Your Experience With Mlhâ€™s Sponsor Technology Went.,Room Number
Dragon and Fairy (DaF),https://revolutionuc2023.devpost.com/submissions/393808-dragon-and-fairy-daf,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 12:22:15,"Inspiration

This project is a challenging and used-to-learn project for our team to gain more experience about data analysis and data modeling. At the beginning of the Hackathon RevUC23, the challenge of Kinetic Vision attracted our attention to how interesting the concept is. We found the two robots Kuka and Baxter very interesting since their arm motion is designated on the model of the natural human arm.

What it does

This project is a self-learning-and-challenging experience with data analysis and visualization.

How we built it

We used Python to convert data from MATLAB into data frames and try to visualize it by plotting 2D motion models.

Challenges we ran into

I don't have much experience on handling and visualizing data. Therefore, I had to learn and do at the same time. Moreover, it was quite problematic when converting MATLAB into Python and plotting motion model the data with pandas and plot

Accomplishments that we're proud of

I have drawn the plot for all the data based on their categories

What we learned

I had a great opportunity to improve my knowledge with data and robotics. I also understand more the incredible ability of Python Library

What's next for Dragon and Fairy (DaF)

I will work on the Baxter robots and 3D model
",https://colab.research.google.com/drive/1jxTkN2hDlQu0nsKuQQNgZ1JT_V4vLbdy#scrollTo=fCom5-9qTmk4,https://youtu.be/-HB1oGmcw44,Robotic Data Visualization (Kinetic Vision),"python, jupyter, google",,University of Cincinnati,1,University of Cincinnati,"","",220-8
ClinicalConnections,https://revolutionuc2023.devpost.com/submissions/393829-clinicalconnections,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 12:55:37,"Inspiration

Looking at MedPaceâ€™s challenge, we wanted to create something different that would not only streamline the online clinical trial process, but better another portion of it as well. We also wanted to try our hand at Fifth Thirdâ€™s challenge to increase knowledge and passion for a useful field for people. We were able to combine these to create a site that gives people who might not have otherwise been able to access these clinical trials a way to participate in things that they have a passion for/give them a passion for. This also allows for online clinical trials to reach people in farther physical locations, which can increase diversity and inclusion in those, which is something that is often overlooked/not able to be focused on in a meaningful capacity.

What it does

Our site ClinicalConnections aims to be a hub for individuals to connect with clinical trial organizers and organizations. The organizations would ideally be vetted before being given a profile, to increase transparency for the potential patients. The patients themselves may never have known about the possibility of participating without our site, which increases education and awareness. Many people want to help others, especially groups they are a part of, so being upfront with what types of people these trials are in need of can give the patients an idea of who those trials aim to help. The site consists of four pages: Home, Trials, Organizations, and Legal. Home and Legal are information regarding the site itself; the mission statement, legalities regarding HIPPA, etc. Trials is a grid of cards for each open clinical trial, which links to the organization putting it on so patients can do more accurate and informed research. These profiles then both link back to Trials, as well as link to the Organizations tab which shows a grid of cards for all the organizations on the site, which can all be viewed in more detail on the individual cards. The overarching goal of ClinicalConnections is to bring the clinical trial process into the modern age, with transparency, passion, and reach.

How we built it

We hosted our website on GitHub Pages. We used the classical front end technologies â€” HTML, CSS, and JavaScript.

Challenges we ran into

Neither of us were extremely well versed in website creation, and Faith was the only one who had made projects with it in the past, so this was a good challenge. We had difficulties setting up the HTML/CSS files in the beginning, but the project took off once those were set up. Elias found it especially difficult to do HTML/CSS formatting.

Accomplishments that we're proud of

Faith was able to implement JavaScript correctly at this hackathon, which was not the case at MakeUC last semester. Elias was happy to learn more HTML, and was able to meaningfully contribute to the project.

What we learned

Both of us got better at front end development. We used GitHub Pages for the first time, which made getting the website up and running much easier. Faith was able to use and actually implement JavaScript to allow for navbar navigation, which was a first. Elias was able to put into practice a lot of basic web dev knowledge for the first time as well. He learned a lot of front end, and how to put it into practice.

What's next for ClinicalConnections

In the future, it would be great to really flesh out the account creation for clinical trial organizations. If the site was able to get big, it would also be great for individuals to create accounts if participating in multiple trials. In terms of actual technologies, taking it off of GitHub Pages to also for a dynamic website would also open many more doors in terms of scaling up the website.
","https://faithrider.github.io/ClinicalConnections/, https://github.com/faithrider/ClinicalConnections",https://youtu.be/MO8U2MpdEms,"Best Educational Hack, Best Design Hack, Best Social Impact Hack, Best Domain Name from Domain.com (MLH), Purposeful User Engagement (Fifth Third Bank), Most Creative Use of GitHub (MLH), Best Digital Solution to Improve the Clinical Trial Process (Medpace)","html5, css3, javascript",,University of Cincinnati,1,University of Cincinnati,"clinicalconnections.tech, witflee.tech","",1819
Untitled,"",Draft,Pending,Manage team,02/25/2023 12:56:34,"","",,"","",,University of Cincinnati,0,"","","",""
Sign Speller,https://revolutionuc2023.devpost.com/submissions/393841-sign-speller,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 13:34:00,"Inspiration

When I was in school, there was a friend of mine who started suffering with bilateral hearing loss. She struggled to do basic things like reading in the class. It took 8 years of therapy to speak well. Although she has no speech discrimination ability, but she can hear some sounds. As I grew up, this topic drew my attention. As I researched more about this, there were many facts which were horrifying. Itâ€™s when I realized that special people could make use of technology to improve this situation. 

What it does

There are two types of output once we play a video on our application.


It will show the subtitles of YouTube content in text format.
It displays American Sign Language (ASL) of the respective content. 


How we built it

We are using Streamlite to build interactive front end. Python code fetches the video URL, given by the user. It extracts the subtitles and converts them into American Sign Language (ASL). We deployed our application on Azure and Google Cloud. We also maintained a collaborative GitHub Global Campus history. 

Challenges we ran into

We had to troubleshoot the deployment issues we faced in Azure and we were successfully able to overcome it. 
Web app is also deployed on Google Cloud Platform with the help of docker. We faced challenges while dockerizing the web app.

Accomplishments that we're proud of

We are proud of doing our little bit of contribution to the society and make the deaf's people life better. We are also able to help educators and parents for their training purpose. Technically, we can give a demo of the application from front-to-end as well.

What we learned

We learnt to use Streamlit as front end to build web app efficiently. We learnt code versioning of the project files with Github. We also learnt cloud technologies like Google Cloud and Azure to deploy our web app.

What's next for Sign Speller

As they say, there's always a room for improvements, we see below opportunities to improve Sign Speller:


Dynamic Streaming of Sign language with Video streaming.
Planning to develop mobile app.
We will optimize the back end efficiency with the help of Large Language Models (LLMs).
We are planning to develop a sign language chat-bot.
We will add animated hand gestures to improve interaction.

","https://videotoaslapprun-f2c4xcgofq-ue.a.run.app/, https://signspeller.azurewebsites.net/, https://github.com/sameeerjadhav/RevolutionUC.git, https://youtu.be/RJ02coS-f14, http://signspeller.tech",https://youtu.be/RJ02coS-f14,"Best Educational Hack, Best Design Hack, Best Social Impact Hack, Most Useless Hack, Best Domain Name from Domain.com (MLH), Best use of Google Cloud (MLH), Most Creative Use of GitHub (MLH)","python, streamlit, azure, github, github-actions, google-cloud, docker",,University of Cincinnati,2,University of Cincinnati,signspeller.tech,"",Lobby-8
Skillscapade,https://revolutionuc2023.devpost.com/submissions/393845-skillscapade,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 13:36:03,"Inspiration

Our inspiration for Skillscapade came from the need for a unique twist on more ""corporate"" learning platforms, offering a way for users to engage with content in a way that feels less like a chore and more like an adventure. We wanted to create a tool that would empower individuals and organizations to design customized, gamified learning experiences that not only teach new skills, but also inspire a sense of curiosity, exploration, and achievement. With Skillscapade, we hope to revolutionize how people think about learning and make education more enjoyable and effective for everyone.

What it does


Users can create an account using Google and view the profile page. 
Users can access some courses that are already made by creators, and collect points.


How we built it


Angular web framework in the background 
Dynamic calls to Google Firebase for documenting 
Secure SSO sign in with Fireauth


Challenges we ran into


User identification


hard to do securely

asynchronous communication


hard to update in real time
accomplished using RxJS observable/subscriber models



Accomplishments that we're proud of


We're proud to say that we have a minimum viable product working--please make an account on https://skillscapade.tech and find out for yourself!
Secure, data visualizations update in real time


What we learned


Lots of Angular backend development 
The Angularfire API for configuring and using Firebase with Angular 
Stenganography and finance, for tract research


What's next for Skillscapade


We plan to add quick and easy editing tools for users and companies to upload and edit their own content tracts for use in learning about niche subjects and corporate training on the material. 
We also plan to make a system that would track course popularity and use machine learning to cluster similar courses and recommend different courses to users automatically. 

",https://github.com/jack-margeson/skillscapade/,https://www.youtube.com/watch?v=9zOKBvHNWus,"Best Domain Name from Domain.com (MLH), Purposeful User Engagement (Fifth Third Bank)","angular.js, firebase, python, fireauth, stenganography, domains.com, rxjs",,University of Cincinnati,2,University of Cincinnati,https://skillscapade.tech,"",210A-6
PassBox,https://revolutionuc2023.devpost.com/submissions/393857-passbox,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 13:52:49,"Inspiration

Our inspiration behind this project stems from the ever growing problem of cyber crime and its effects on the world around us. More than 23 million people use ""123456"" as their password to their account. With that being one of the many simply guessed passwords, secure and randomly generated passwords have never been more needed.

What it does

Our password manager, PassBox, will safely add, store, and even generate secure passwords for all of your accounts across the internet. Our Password generator gives you options for certain requirements like punctuation or capital letters as well as a slider for password length! Passbox keeps all of your information behind a password protected screen so you only need to remember one password of your choice.

How we built it

We used Python functions to store, create, edit, and retrieve text files containing our data as well as PySimpleGUI in order to bring a graphical user interface into our program for ease of use for the user.

Challenges we ran into

This was both of our first times creating an application program that uses a graphical interface but once we figured that out our biggest problems were trying to delete options from our combo-box. We also ran into an issue with our program crashing if certain requirements were not met from the user but that was fixed. Additionally, file permissions/file I/O, using the os module to find files in different folders, and UI design were challenges that we were able to overcome.

Accomplishments that we're proud of

I would say we are definitely proud of turning in a working and complete project that really helped challenge us and helped us grow in our field. With only a small bit of programming experience in comparison to others in the competition, we feel we outdid ourselves with what we were able to create.

What we learned

I think the most important concept we learned is linking our graphical user interface with our python project. Working with a GUI within our code really helped with ease and accessibility from the user point of view as well as challenged us with something we had not used before.

What's next for PassBox

Our next steps would be implementing the encryption and decryption phases to work with our project. We have written two separate functions with the processes but with more time, implementing it into the code will make PassBox feel much more complete. After that, figuring out a way for the combo-box to delete entries when wanted would also be beneficial.
",https://mailuc-my.sharepoint.com/:p:/g/personal/rohlofav_mail_uc_edu/EZdqPTl5v7BIpGCy9VIAATsBKNljrptfcsXXxk6dkpws9w?e=nlWgWz,https://www.youtube.com/watch?v=h9_fnwgbpUs,"Best Design Hack, Most Useless Hack, Purposeful User Engagement (Fifth Third Bank)","python, pysimplegui, visual-studio",,University of Cincinnati,1,University of Cincinnati,N/A,"",basement
Flip Study,https://revolutionuc2023.devpost.com/submissions/393880-flip-study,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 14:27:50,"Inspiration

The goal of the speech recognition flashcard software from FlipStudy was to make it easier for student to study and hone their pronunciation skills. Traditional flashcard apps frequently depend on users rating their own pronunciation, which can be subjective and may not be an accurate representation of their level of proficiency. The FlipStudy app gives users a more objective and interactive learning experience by integrating voice recognition technology. By offering an enjoyable, interesting, and personalized learning experience, we hope to assist users in achieving their language learning objectives. 

What it does

Displays text that the user is learning and asked them to speak it to which it will listen and tell if you you are pronouncing it correctly. 

How we built it

Programmed in Python and using WordPress for the website framework. 

Challenges we ran into

We did not know how to setup and use speech recognition so we found a speak recognition library for Python which we read documentation to use to build a speech interpreter. We also ran into trouble integrating WordPress with Python as our backend was mainly PHP.

Accomplishments that we're proud of

This is our first time integrating PHP and Python to work together. 

What we learned

Working with Speech to Text and Text to Speech over API and with Python. Calling Python from PHP and returning the results for PHP to work with further. Building audio recorders in HTML5.

What's next for FlipStudy

We hope to introduce languages beyond English. Speech to Text processing with supervised based machine learning. With a human reviewing the sound bytes, then they can provide the feedback the AI needs to adapt to various speech patterns.
",https://flipstudy.tech/,https://www.youtube.com/watch?v=Bha9O4OLVOM,"Best Educational Hack, Best Social Impact Hack, Best Domain Name from Domain.com (MLH), Best use of Google Cloud (MLH), Most Creative Use of Twilio (MLH), Purposeful User Engagement (Fifth Third Bank), Most Creative Use of GitHub (MLH)","python, php, wordpress",,"University of Cincinnati, Cincinnati State Technical and Community College",3,"University of Cincinnati CEAS, Indian Hill High School.",FlipStudy.tech,It was hard but we were able to work it out in the end.,255
EndoDome,"",Draft,Pending,Project overview,02/25/2023 15:02:14,"","",,"","",,University of Cincinnati,2,"","","",""
PAX,https://revolutionuc2023.devpost.com/submissions/393952-pax,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 16:52:39,"Inspiration

One in four people will face mental health issues in a year worldwide. We wanted to tackle this issue by making mental health care affordable.

What it does

PAX is a safe place for sharing thoughts and feelings with a supportive community and professionals, to be heard and healed.PAX allows users to anonymously and remotely talk about their issues in a safe neighborhood. 


We plan on letting users connect with other users and share their problems and listen as a listener. 
A person can always talk with our smart AI bot and get tips on mental health and self-improvement. 
We also let people join in group sessions or directly book an appointment with a therapist or expert. This allows people from all around the world to access this resource and benefit themselves.
-There are many features like meditation, 24/7 hotline service, goal tracker, 1-1 chatting, listener service, group chatting, etc.


How we built it

We used CSS, javascript, and HTML to build a prototype website for our project PAX.

Challenges we ran into

It wasn't easy to make a chatbot by just using javascript.

Accomplishments that we're proud of

We are proud of the concept we created as it can make a global impact.

What we learned

Since it's our first hackathon, we couldn't build a fully functioning app. However, we learned the implementations of javascript, CSS, and HTML.

What's next for PAX

Our future plans for PAX are to make the entire app, build an even more extensive chatbot and connect it to the internet. 
",https://adksam.github.io/,https://youtu.be/BtAcEdPMpx8,"","html, css, javascript, powerpoint, canva, jotform",,University of Cincinnati,2,University of Cincinnati,"","",265
Good Vibrations,https://revolutionuc2023.devpost.com/submissions/393960-good-vibrations,Submitted (Gallery/Visible),Pending,Submit,02/25/2023 17:28:50,"Inspiration

Wearable vibrotactile devices are becoming increasingly popular for medical interventions. This technology is based on the concept of stochastic resonance, in which low level noise can enhance signal detectionâ€”like those signals used for balancing oneself! By using these devices, medical professionals can provide targeted and personalized interventions that can improve patient outcomes. Furthermore, these devices are non-invasive and easy to use, making them ideal for medical applications and for in-home clinical trials. 

For our project, we have designed and produced a vibrotactile vest that applies vibrations at varying frequencies at different points around the trunk of the body. By modifying the frequency and statistical structure of these vibrations, different types of intervention can be achieved. It is hoped that this device can not only be used for the advancement of sensorimotor research, but also assist in motor therapies for elderly or movement-impaired individuals. It also has the massive potential to help those beyond our interested population, including vision impaired individuals. 

What it does

Our device generates signals using CircuitPython to produce specific vibration patterns. This vibration could be noisy and improve sensation and balance via stochastic resonance as described above. We can also control the vibration motors individually to provide more fine-grained information about the userâ€™s environment. For example, the motor array could vibrate more intensely on the left side, indicating an approaching obstacle from that direction. It is easy to see how this device opens the opportunity to study a number of unique research questions with clinical importance.  

More broadly, this device provides a way to potentially increase safety in balance-impaired individuals. Research shows sensory degradation associated with aging, resulting in an increased number of falls in older individuals. Research also suggests that the introduction of auditory or vibratory stochastic resonance can improve sensory detection. Through this, it is hoped that the application of vibratory stimulation can reduce fall risk and balance impairment in these communities. Recurrent elderly fallers are often hospitalized and have much higher mortality rates, hence the importance of developing a non-invasive intervention and research tool, such as ours. This device, in addition to traditional research use, can also be sent home with research participants to see how its regular use alters fall risk.  

How we built it

Our device currently makes use of 16 vibrating coin motors, with room for 48, which are connected to PWM motor controllers that are controlled by a Raspberry Pi Pico W. We cut and soldered the wires that connect our circuit. Commands are sent to the Raspberry Pi Pico W using CircuitPython to allow for the activation and control of the individually addressable motors. As a result, different amounts of vibration with varying statistical structure may be applied.  

The motors were connected to an orthopedic belt to allow for easy and comfortable application to the torso. The motors were stuck to three strips of Velcro which were sewn onto the orthopedic belt.  

Challenges we ran into

The most significant challenge we ran into was the development of the hardware. We initially faced issues of needing extra materials than those that we brought, needing to get extra wire, insulation, converters, and transistors. Further, we faced issues of accuracy in our soldering, wherein we had to redo a significant chunk of the wiring we had done initially. These issues slowed us down pretty harshly. 

Due to the hardware delays, we had limited time to test the planned Bluetooth functionality of the device, and had to save that for a future improvement to the device. 

Accomplishments that we're proud of

We are very proud of the progress we made on this project. There may be some parts that are not as cleanly developed as they could be (an issue we intend to fix in the future), and we are happy to have developed a functional device, with a 3D virtual demo.  

We are also happy that we were able to practice and learn some new functional skills that will aid in the development of other research tools in our respective labs.  

What we learned

To conduct this project, we had to learn a significant amount about the theoretical perspectives on noise-based stimulation and the application of noise therapies to different medical conditions. Through this, we were able to gain perspectives on the societal impact of the technologies that we can develop. We were able to consider not only the development of this tech, but also who the tech is there to serve. 

From a technical perspective, this project was one of the more ambitious tasks that we have undertaken. As a team of majority Psychology students and one Computer Science student, we were able to learn a lot about electrical engineering to accomplish this project. Specifically, we were able to develop skills in soldering, circuit design, and communication using the I2C protocol. 

What's next for Good Vibrations

The Vibrotactile belt that we have developed will be employed in research at the University of Cincinnati Center for Cognition, Action, and Perception. We plan to continue this research line, investigating the potential benefits of vibratory stimulation on the perceptual-motor system, and the potential therapeutic avenues this technology can be applied to. Before implementation, we also plan to increase the number of motors and clean up the design of the device, including 3D printing a storage pouch for the motor controllers and other external materials. 

We hope we can continue to develop different wearable technologies, aimed at providing vibratory stimulation in more task-specific areas. For example, generating a vibrotactile glove to enhance sensory function in the upper limbs, or socks to improve function of the lower limbs, etc. By targeting specific areas, we may be able to see more finely-grained benefits, such as improving the manipulation of the hands in Parkinsonâ€™s Disease patients â€“ though more research is also necessary for these advancements. 
",https://github.com/scott181182/RevUC2023,https://youtu.be/-Ky0D3yhhVI,Best Digital Solution to Improve the Clinical Trial Process (Medpace),"c#, circuitpython, i2c, soldering, github, onedrive, powerpoint",,University of Cincinnati,3,University of Cincinnati (all members),"","",Lobby-2
