Opt-In Prize,Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Room Number,"What School Do You Attend? If You Are No Longer In School, What University Did You Attend Most Recently?",Tell Us About Your Technology Experience This Weekend.,"Did You Register A .Tech Domain Name This Weekend? If So, What Domain Did You Register?"
Best Social Impact Hack,TransitU,https://revolutionuc2024.devpost.com/submissions/484343-transitu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:16:04,"Inspiration

We understood the unappreciated value of the on-campus bus systems and understood the lack of basic functionality of routing Point A to B for students through this system. We wanted to make a web app that could provide this functionality to allow students to better coordinate how to ride the buses.

What it does

Allows the commuting student to enter their class schedule, and finds the optimal time to leave using live, webscraped bus data with the Live Shuttle Tracker (https://uc.transloc.com/).

How we built it

We used Typescript React in NextJS for the front-end, and a MySQL server with Auth0 for authentication in the back-end. The webscraping relied on JavaScript fetch calls to the same backend API as the Live Shuttle Tracker. It runs this data through the Google Maps API as well to give a final minute count of your estimated time it takes to get on, ride, get off, and walk to your final destination to give you the most accurate arrival time to your scheduled classes.

Challenges we ran into

Originally we were going to have the bus route display on the map page, but ran into issues with the Google Maps API that we couldn't resolve in time. Having the ability to visually display the route the bus is taking the student and the walking path they must take when the bus arrives at the bus stop wouldn't been incredible.

Accomplishments that we're proud of

We were able to successfully collaborate using many, many frameworks that we had little to no experience beforehand to make a working application.

What we learned

Using multiple Google APIs is much harder to work with in a React environment and requires more time and prior knowledge than a Hackathon could allocate us with.

What's next for TransitU

Integrating Google Maps effectively to mark with visuals where the student needs to go. First from the origin point to the bus stop, marking the path of the first bus stop to the end, and the walk from exiting the bus to the building.
",https://github.com/collin-b1/rev-uc-2024,https://youtu.be/YUfuEC2qat4,"typescript, react, nextjs, mysql, auth0, webscraping",,"Ohio State University, University of Cincinnati",2,245-10,University of Cincinnati,"We certainly dove straight into the unknown. We learned how to create a web app using React in Typescript, create user authorization using Auth0, and create a database using MySQL. We also utilized Git and GitHub to easily collaborate without having conflicts in code changes.",whipnaenae.tech
Best Use of Auth0 ,TransitU,https://revolutionuc2024.devpost.com/submissions/484343-transitu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:16:04,"Inspiration

We understood the unappreciated value of the on-campus bus systems and understood the lack of basic functionality of routing Point A to B for students through this system. We wanted to make a web app that could provide this functionality to allow students to better coordinate how to ride the buses.

What it does

Allows the commuting student to enter their class schedule, and finds the optimal time to leave using live, webscraped bus data with the Live Shuttle Tracker (https://uc.transloc.com/).

How we built it

We used Typescript React in NextJS for the front-end, and a MySQL server with Auth0 for authentication in the back-end. The webscraping relied on JavaScript fetch calls to the same backend API as the Live Shuttle Tracker. It runs this data through the Google Maps API as well to give a final minute count of your estimated time it takes to get on, ride, get off, and walk to your final destination to give you the most accurate arrival time to your scheduled classes.

Challenges we ran into

Originally we were going to have the bus route display on the map page, but ran into issues with the Google Maps API that we couldn't resolve in time. Having the ability to visually display the route the bus is taking the student and the walking path they must take when the bus arrives at the bus stop wouldn't been incredible.

Accomplishments that we're proud of

We were able to successfully collaborate using many, many frameworks that we had little to no experience beforehand to make a working application.

What we learned

Using multiple Google APIs is much harder to work with in a React environment and requires more time and prior knowledge than a Hackathon could allocate us with.

What's next for TransitU

Integrating Google Maps effectively to mark with visuals where the student needs to go. First from the origin point to the bus stop, marking the path of the first bus stop to the end, and the walk from exiting the bus to the building.
",https://github.com/collin-b1/rev-uc-2024,https://youtu.be/YUfuEC2qat4,"typescript, react, nextjs, mysql, auth0, webscraping",,"Ohio State University, University of Cincinnati",2,245-10,University of Cincinnati,"We certainly dove straight into the unknown. We learned how to create a web app using React in Typescript, create user authorization using Auth0, and create a database using MySQL. We also utilized Git and GitHub to easily collaborate without having conflicts in code changes.",whipnaenae.tech
Best Educational Hack,WeCU,https://revolutionuc2024.devpost.com/submissions/484349-wecu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:29:06,"Inspiration

WeCU is born from the need of better help for people with neurological difficulties, and the desire to create an easy to use and fun solution

We are Johana Hernandez and Oriana Hernandez, two UC students with creativity, 24 hours and a really strong sister bond willing to find the way to fight the lack of great solutions in the mental health sector.

What it does

CU DAILY
By monitoring the student's or patient's mental well-being by implementing a daily check-up which consists on 3 short questions regarding energy levels, any concerns, and in the ruler quadrants scale, how do they feel that specific day.

Our CU DAILY check-up is a tool created to be there even when we can't. Maybe being in person is not a thing someone can do daily, but in WeCU the patients and students are first. We want to be there for them at any minute they need us, plus we keep track of their data and analyze it, to see patterns on they're mental health depending on the season, month, personal situation, etc. Our daily survey serves as a way for the patient's and students to wait a second and understand how they feel, while getting feedback about their recent energy levels and mood data displayed as a chart for their convenience.

In UC WeCU
Our fabulous student section is a great way for students to get to know all the resources they can access within UC, maybe getting support, talking to someone, or using our built in tips and hacks tile, which we developed with love to help people struggling with Stress, Seasonal Depression, Home Sickness, and Anxiety about exams. in WeCU we know that most students struggle with those topics and we're here to help the transition to be a college student, the hard winter or finals week, be easier to manage.

How we built it

To create WeCU, we decided to use HTML and CSS for our  front-end along with Javascript for our back-end, we decided to use github to host our webpage and added the custom .tech domain to our idea. For our built in chat bot we used tidio, chatbot templates. 

Challenges we ran into

Johana Hernandez First hackathon, it was our first time developing a completely programmed project, Oriana's first time using javascript , it was terrifying but most programming languages have the same logic and that helped her to understand the coding better. We are a team of two for a really ambitious project, and it was really hard to keep going even when we were tired. 
A challenge was that we wanted to use python to develop the backend but python does not support being added to HTML so we changed our method and started learning about basic syntax of Javascript.

Accomplishments that we're proud of

We are proud of our way to join our personal experiences with coding and formatting to create a great project, with Johana's knowledge of HTML and graphic design and Oriana's knowledge about programming logic and HTML, plus our drive to learn and try new things helped us create a great project.

What we learned

We learned how to develop code in Javascript from inside of an HTML document. 
Time management. 
How to complement each other ideas and knowledge. 
How to set up a greeting chatbot and a FAQ chatbot. 
The basics of implementing CECE our virtual assistant chatbot to check up on students or patients and answer questions regarding the website. 

What's next for WeCU

Successfully connecting the database to be able to retrieve and analyze data from each patient and display their respective information whenever they want. 
Expand our built in tips and hacks section to be able to give more mini-tips on how to manage certain situations in a students life. 
Implement a mobile application version, it works now on a smartphone but the dimensions are a little off so we might want to create a version just for phones and other for laptops or desktops.  
",https://orianahernandez.github.io/wecu_uc/,https://youtu.be/QsztaSH1g0M,"css, html, tidio, javascript, github, .tech",,"University of Cincinnati, University of Cincinnati Clermont College",1,Lobby 2-22,University Of Cincinnati,"We had a great experience, it was our first time developing a project using real code, and we learned so much from it. HTML and Javascript weren't our go-to codes but we enjoyed understanding how to implement these types of front-end languages for a project. We learned about .tech domain, it was a little bit difficult to deploy not gonna lie, but we got to expand our knowledge about the different types of domains that exist.",WeCU.tech (In UC WeCU)
Best Design Hack,WeCU,https://revolutionuc2024.devpost.com/submissions/484349-wecu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:29:06,"Inspiration

WeCU is born from the need of better help for people with neurological difficulties, and the desire to create an easy to use and fun solution

We are Johana Hernandez and Oriana Hernandez, two UC students with creativity, 24 hours and a really strong sister bond willing to find the way to fight the lack of great solutions in the mental health sector.

What it does

CU DAILY
By monitoring the student's or patient's mental well-being by implementing a daily check-up which consists on 3 short questions regarding energy levels, any concerns, and in the ruler quadrants scale, how do they feel that specific day.

Our CU DAILY check-up is a tool created to be there even when we can't. Maybe being in person is not a thing someone can do daily, but in WeCU the patients and students are first. We want to be there for them at any minute they need us, plus we keep track of their data and analyze it, to see patterns on they're mental health depending on the season, month, personal situation, etc. Our daily survey serves as a way for the patient's and students to wait a second and understand how they feel, while getting feedback about their recent energy levels and mood data displayed as a chart for their convenience.

In UC WeCU
Our fabulous student section is a great way for students to get to know all the resources they can access within UC, maybe getting support, talking to someone, or using our built in tips and hacks tile, which we developed with love to help people struggling with Stress, Seasonal Depression, Home Sickness, and Anxiety about exams. in WeCU we know that most students struggle with those topics and we're here to help the transition to be a college student, the hard winter or finals week, be easier to manage.

How we built it

To create WeCU, we decided to use HTML and CSS for our  front-end along with Javascript for our back-end, we decided to use github to host our webpage and added the custom .tech domain to our idea. For our built in chat bot we used tidio, chatbot templates. 

Challenges we ran into

Johana Hernandez First hackathon, it was our first time developing a completely programmed project, Oriana's first time using javascript , it was terrifying but most programming languages have the same logic and that helped her to understand the coding better. We are a team of two for a really ambitious project, and it was really hard to keep going even when we were tired. 
A challenge was that we wanted to use python to develop the backend but python does not support being added to HTML so we changed our method and started learning about basic syntax of Javascript.

Accomplishments that we're proud of

We are proud of our way to join our personal experiences with coding and formatting to create a great project, with Johana's knowledge of HTML and graphic design and Oriana's knowledge about programming logic and HTML, plus our drive to learn and try new things helped us create a great project.

What we learned

We learned how to develop code in Javascript from inside of an HTML document. 
Time management. 
How to complement each other ideas and knowledge. 
How to set up a greeting chatbot and a FAQ chatbot. 
The basics of implementing CECE our virtual assistant chatbot to check up on students or patients and answer questions regarding the website. 

What's next for WeCU

Successfully connecting the database to be able to retrieve and analyze data from each patient and display their respective information whenever they want. 
Expand our built in tips and hacks section to be able to give more mini-tips on how to manage certain situations in a students life. 
Implement a mobile application version, it works now on a smartphone but the dimensions are a little off so we might want to create a version just for phones and other for laptops or desktops.  
",https://orianahernandez.github.io/wecu_uc/,https://youtu.be/QsztaSH1g0M,"css, html, tidio, javascript, github, .tech",,"University of Cincinnati, University of Cincinnati Clermont College",1,Lobby 2-22,University Of Cincinnati,"We had a great experience, it was our first time developing a project using real code, and we learned so much from it. HTML and Javascript weren't our go-to codes but we enjoyed understanding how to implement these types of front-end languages for a project. We learned about .tech domain, it was a little bit difficult to deploy not gonna lie, but we got to expand our knowledge about the different types of domains that exist.",WeCU.tech (In UC WeCU)
Best Social Impact Hack,WeCU,https://revolutionuc2024.devpost.com/submissions/484349-wecu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:29:06,"Inspiration

WeCU is born from the need of better help for people with neurological difficulties, and the desire to create an easy to use and fun solution

We are Johana Hernandez and Oriana Hernandez, two UC students with creativity, 24 hours and a really strong sister bond willing to find the way to fight the lack of great solutions in the mental health sector.

What it does

CU DAILY
By monitoring the student's or patient's mental well-being by implementing a daily check-up which consists on 3 short questions regarding energy levels, any concerns, and in the ruler quadrants scale, how do they feel that specific day.

Our CU DAILY check-up is a tool created to be there even when we can't. Maybe being in person is not a thing someone can do daily, but in WeCU the patients and students are first. We want to be there for them at any minute they need us, plus we keep track of their data and analyze it, to see patterns on they're mental health depending on the season, month, personal situation, etc. Our daily survey serves as a way for the patient's and students to wait a second and understand how they feel, while getting feedback about their recent energy levels and mood data displayed as a chart for their convenience.

In UC WeCU
Our fabulous student section is a great way for students to get to know all the resources they can access within UC, maybe getting support, talking to someone, or using our built in tips and hacks tile, which we developed with love to help people struggling with Stress, Seasonal Depression, Home Sickness, and Anxiety about exams. in WeCU we know that most students struggle with those topics and we're here to help the transition to be a college student, the hard winter or finals week, be easier to manage.

How we built it

To create WeCU, we decided to use HTML and CSS for our  front-end along with Javascript for our back-end, we decided to use github to host our webpage and added the custom .tech domain to our idea. For our built in chat bot we used tidio, chatbot templates. 

Challenges we ran into

Johana Hernandez First hackathon, it was our first time developing a completely programmed project, Oriana's first time using javascript , it was terrifying but most programming languages have the same logic and that helped her to understand the coding better. We are a team of two for a really ambitious project, and it was really hard to keep going even when we were tired. 
A challenge was that we wanted to use python to develop the backend but python does not support being added to HTML so we changed our method and started learning about basic syntax of Javascript.

Accomplishments that we're proud of

We are proud of our way to join our personal experiences with coding and formatting to create a great project, with Johana's knowledge of HTML and graphic design and Oriana's knowledge about programming logic and HTML, plus our drive to learn and try new things helped us create a great project.

What we learned

We learned how to develop code in Javascript from inside of an HTML document. 
Time management. 
How to complement each other ideas and knowledge. 
How to set up a greeting chatbot and a FAQ chatbot. 
The basics of implementing CECE our virtual assistant chatbot to check up on students or patients and answer questions regarding the website. 

What's next for WeCU

Successfully connecting the database to be able to retrieve and analyze data from each patient and display their respective information whenever they want. 
Expand our built in tips and hacks section to be able to give more mini-tips on how to manage certain situations in a students life. 
Implement a mobile application version, it works now on a smartphone but the dimensions are a little off so we might want to create a version just for phones and other for laptops or desktops.  
",https://orianahernandez.github.io/wecu_uc/,https://youtu.be/QsztaSH1g0M,"css, html, tidio, javascript, github, .tech",,"University of Cincinnati, University of Cincinnati Clermont College",1,Lobby 2-22,University Of Cincinnati,"We had a great experience, it was our first time developing a project using real code, and we learned so much from it. HTML and Javascript weren't our go-to codes but we enjoyed understanding how to implement these types of front-end languages for a project. We learned about .tech domain, it was a little bit difficult to deploy not gonna lie, but we got to expand our knowledge about the different types of domains that exist.",WeCU.tech (In UC WeCU)
Parkinson's Together Synapse Sprint,WeCU,https://revolutionuc2024.devpost.com/submissions/484349-wecu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:29:06,"Inspiration

WeCU is born from the need of better help for people with neurological difficulties, and the desire to create an easy to use and fun solution

We are Johana Hernandez and Oriana Hernandez, two UC students with creativity, 24 hours and a really strong sister bond willing to find the way to fight the lack of great solutions in the mental health sector.

What it does

CU DAILY
By monitoring the student's or patient's mental well-being by implementing a daily check-up which consists on 3 short questions regarding energy levels, any concerns, and in the ruler quadrants scale, how do they feel that specific day.

Our CU DAILY check-up is a tool created to be there even when we can't. Maybe being in person is not a thing someone can do daily, but in WeCU the patients and students are first. We want to be there for them at any minute they need us, plus we keep track of their data and analyze it, to see patterns on they're mental health depending on the season, month, personal situation, etc. Our daily survey serves as a way for the patient's and students to wait a second and understand how they feel, while getting feedback about their recent energy levels and mood data displayed as a chart for their convenience.

In UC WeCU
Our fabulous student section is a great way for students to get to know all the resources they can access within UC, maybe getting support, talking to someone, or using our built in tips and hacks tile, which we developed with love to help people struggling with Stress, Seasonal Depression, Home Sickness, and Anxiety about exams. in WeCU we know that most students struggle with those topics and we're here to help the transition to be a college student, the hard winter or finals week, be easier to manage.

How we built it

To create WeCU, we decided to use HTML and CSS for our  front-end along with Javascript for our back-end, we decided to use github to host our webpage and added the custom .tech domain to our idea. For our built in chat bot we used tidio, chatbot templates. 

Challenges we ran into

Johana Hernandez First hackathon, it was our first time developing a completely programmed project, Oriana's first time using javascript , it was terrifying but most programming languages have the same logic and that helped her to understand the coding better. We are a team of two for a really ambitious project, and it was really hard to keep going even when we were tired. 
A challenge was that we wanted to use python to develop the backend but python does not support being added to HTML so we changed our method and started learning about basic syntax of Javascript.

Accomplishments that we're proud of

We are proud of our way to join our personal experiences with coding and formatting to create a great project, with Johana's knowledge of HTML and graphic design and Oriana's knowledge about programming logic and HTML, plus our drive to learn and try new things helped us create a great project.

What we learned

We learned how to develop code in Javascript from inside of an HTML document. 
Time management. 
How to complement each other ideas and knowledge. 
How to set up a greeting chatbot and a FAQ chatbot. 
The basics of implementing CECE our virtual assistant chatbot to check up on students or patients and answer questions regarding the website. 

What's next for WeCU

Successfully connecting the database to be able to retrieve and analyze data from each patient and display their respective information whenever they want. 
Expand our built in tips and hacks section to be able to give more mini-tips on how to manage certain situations in a students life. 
Implement a mobile application version, it works now on a smartphone but the dimensions are a little off so we might want to create a version just for phones and other for laptops or desktops.  
",https://orianahernandez.github.io/wecu_uc/,https://youtu.be/QsztaSH1g0M,"css, html, tidio, javascript, github, .tech",,"University of Cincinnati, University of Cincinnati Clermont College",1,Lobby 2-22,University Of Cincinnati,"We had a great experience, it was our first time developing a project using real code, and we learned so much from it. HTML and Javascript weren't our go-to codes but we enjoyed understanding how to implement these types of front-end languages for a project. We learned about .tech domain, it was a little bit difficult to deploy not gonna lie, but we got to expand our knowledge about the different types of domains that exist.",WeCU.tech (In UC WeCU)
Best Product Market Fit (Center for Entrepreneurship),WeCU,https://revolutionuc2024.devpost.com/submissions/484349-wecu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:29:06,"Inspiration

WeCU is born from the need of better help for people with neurological difficulties, and the desire to create an easy to use and fun solution

We are Johana Hernandez and Oriana Hernandez, two UC students with creativity, 24 hours and a really strong sister bond willing to find the way to fight the lack of great solutions in the mental health sector.

What it does

CU DAILY
By monitoring the student's or patient's mental well-being by implementing a daily check-up which consists on 3 short questions regarding energy levels, any concerns, and in the ruler quadrants scale, how do they feel that specific day.

Our CU DAILY check-up is a tool created to be there even when we can't. Maybe being in person is not a thing someone can do daily, but in WeCU the patients and students are first. We want to be there for them at any minute they need us, plus we keep track of their data and analyze it, to see patterns on they're mental health depending on the season, month, personal situation, etc. Our daily survey serves as a way for the patient's and students to wait a second and understand how they feel, while getting feedback about their recent energy levels and mood data displayed as a chart for their convenience.

In UC WeCU
Our fabulous student section is a great way for students to get to know all the resources they can access within UC, maybe getting support, talking to someone, or using our built in tips and hacks tile, which we developed with love to help people struggling with Stress, Seasonal Depression, Home Sickness, and Anxiety about exams. in WeCU we know that most students struggle with those topics and we're here to help the transition to be a college student, the hard winter or finals week, be easier to manage.

How we built it

To create WeCU, we decided to use HTML and CSS for our  front-end along with Javascript for our back-end, we decided to use github to host our webpage and added the custom .tech domain to our idea. For our built in chat bot we used tidio, chatbot templates. 

Challenges we ran into

Johana Hernandez First hackathon, it was our first time developing a completely programmed project, Oriana's first time using javascript , it was terrifying but most programming languages have the same logic and that helped her to understand the coding better. We are a team of two for a really ambitious project, and it was really hard to keep going even when we were tired. 
A challenge was that we wanted to use python to develop the backend but python does not support being added to HTML so we changed our method and started learning about basic syntax of Javascript.

Accomplishments that we're proud of

We are proud of our way to join our personal experiences with coding and formatting to create a great project, with Johana's knowledge of HTML and graphic design and Oriana's knowledge about programming logic and HTML, plus our drive to learn and try new things helped us create a great project.

What we learned

We learned how to develop code in Javascript from inside of an HTML document. 
Time management. 
How to complement each other ideas and knowledge. 
How to set up a greeting chatbot and a FAQ chatbot. 
The basics of implementing CECE our virtual assistant chatbot to check up on students or patients and answer questions regarding the website. 

What's next for WeCU

Successfully connecting the database to be able to retrieve and analyze data from each patient and display their respective information whenever they want. 
Expand our built in tips and hacks section to be able to give more mini-tips on how to manage certain situations in a students life. 
Implement a mobile application version, it works now on a smartphone but the dimensions are a little off so we might want to create a version just for phones and other for laptops or desktops.  
",https://orianahernandez.github.io/wecu_uc/,https://youtu.be/QsztaSH1g0M,"css, html, tidio, javascript, github, .tech",,"University of Cincinnati, University of Cincinnati Clermont College",1,Lobby 2-22,University Of Cincinnati,"We had a great experience, it was our first time developing a project using real code, and we learned so much from it. HTML and Javascript weren't our go-to codes but we enjoyed understanding how to implement these types of front-end languages for a project. We learned about .tech domain, it was a little bit difficult to deploy not gonna lie, but we got to expand our knowledge about the different types of domains that exist.",WeCU.tech (In UC WeCU)
Best .Tech Domain Name,WeCU,https://revolutionuc2024.devpost.com/submissions/484349-wecu,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:29:06,"Inspiration

WeCU is born from the need of better help for people with neurological difficulties, and the desire to create an easy to use and fun solution

We are Johana Hernandez and Oriana Hernandez, two UC students with creativity, 24 hours and a really strong sister bond willing to find the way to fight the lack of great solutions in the mental health sector.

What it does

CU DAILY
By monitoring the student's or patient's mental well-being by implementing a daily check-up which consists on 3 short questions regarding energy levels, any concerns, and in the ruler quadrants scale, how do they feel that specific day.

Our CU DAILY check-up is a tool created to be there even when we can't. Maybe being in person is not a thing someone can do daily, but in WeCU the patients and students are first. We want to be there for them at any minute they need us, plus we keep track of their data and analyze it, to see patterns on they're mental health depending on the season, month, personal situation, etc. Our daily survey serves as a way for the patient's and students to wait a second and understand how they feel, while getting feedback about their recent energy levels and mood data displayed as a chart for their convenience.

In UC WeCU
Our fabulous student section is a great way for students to get to know all the resources they can access within UC, maybe getting support, talking to someone, or using our built in tips and hacks tile, which we developed with love to help people struggling with Stress, Seasonal Depression, Home Sickness, and Anxiety about exams. in WeCU we know that most students struggle with those topics and we're here to help the transition to be a college student, the hard winter or finals week, be easier to manage.

How we built it

To create WeCU, we decided to use HTML and CSS for our  front-end along with Javascript for our back-end, we decided to use github to host our webpage and added the custom .tech domain to our idea. For our built in chat bot we used tidio, chatbot templates. 

Challenges we ran into

Johana Hernandez First hackathon, it was our first time developing a completely programmed project, Oriana's first time using javascript , it was terrifying but most programming languages have the same logic and that helped her to understand the coding better. We are a team of two for a really ambitious project, and it was really hard to keep going even when we were tired. 
A challenge was that we wanted to use python to develop the backend but python does not support being added to HTML so we changed our method and started learning about basic syntax of Javascript.

Accomplishments that we're proud of

We are proud of our way to join our personal experiences with coding and formatting to create a great project, with Johana's knowledge of HTML and graphic design and Oriana's knowledge about programming logic and HTML, plus our drive to learn and try new things helped us create a great project.

What we learned

We learned how to develop code in Javascript from inside of an HTML document. 
Time management. 
How to complement each other ideas and knowledge. 
How to set up a greeting chatbot and a FAQ chatbot. 
The basics of implementing CECE our virtual assistant chatbot to check up on students or patients and answer questions regarding the website. 

What's next for WeCU

Successfully connecting the database to be able to retrieve and analyze data from each patient and display their respective information whenever they want. 
Expand our built in tips and hacks section to be able to give more mini-tips on how to manage certain situations in a students life. 
Implement a mobile application version, it works now on a smartphone but the dimensions are a little off so we might want to create a version just for phones and other for laptops or desktops.  
",https://orianahernandez.github.io/wecu_uc/,https://youtu.be/QsztaSH1g0M,"css, html, tidio, javascript, github, .tech",,"University of Cincinnati, University of Cincinnati Clermont College",1,Lobby 2-22,University Of Cincinnati,"We had a great experience, it was our first time developing a project using real code, and we learned so much from it. HTML and Javascript weren't our go-to codes but we enjoyed understanding how to implement these types of front-end languages for a project. We learned about .tech domain, it was a little bit difficult to deploy not gonna lie, but we got to expand our knowledge about the different types of domains that exist.",WeCU.tech (In UC WeCU)
Best Social Impact Hack,CHAAP: Chat With Any Anonymous Page,https://revolutionuc2024.devpost.com/submissions/484354-chaap-chat-with-any-anonymous-page,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:38:20,"Inspiration

We wanted to build a chatbot that could respect private data constraints and still deliver value. As such, we built an extension that can talk to anything, working with any website you can think of and scraping the data in a way that completely anonymizes data. We were inspired by works like Nightshade and other chatbots to guide our development.

What it does

CHAAP is a Chrome extension that can talk to any webpage you're on, performing reasoning and inference over the webpage. CHAAP allows you to talk to any LLM you want, ranging from AWS to OLLaMA to GPT. Additionally, if you're using proprietary LLMs, our HEMLock algorithm protects your data and prevents LLM providers from using your data for pretraining their models and stealing your work.

How we built it

We built CHAAP with several technologies, using technologies like Tembo for RAG, AWS for LLM inference, HuggingFace and Presidio for Anonymization, JS and HTML for the frontend, and countless other libraries. This library intricately weaves together a number of LLM systems to deliver secure and effective chatbot integrations.

Challenges we ran into

Chrome was a particularly hard thing to work with, as well as configuring Tembo to do vector database work. However we ended up implementing both.

Accomplishments that we're proud of

Delivering the project was an accomplishment we're quite proud of, as well as the anonymization algorithm we developed.

What we learned

Chrome is mean.

What's next for CHAAP: Chat With Any Anonymous Page

Image integration, stronger anonymization, potential decentralized protocol for LLM routing.
",https://github.com/arnavkomaragiri/CHAP,https://www.youtube.com/watch?v=80qRcPHnKxA&ab_channel=AndrewGerstenslager,"javascript, tembo, langchain, huggingface, ollama, amazon-web-services, openai, html5, chrome, python, fastapi",,University of Cincinnati,3,Lobby 2-27,University of Cincinnati,"Things were relatively good, we used Tembo, AWS, FastAPI, HuggingFace, and a number of technologies to deliver our product.",""
Best Digital Solution to Improve the Clinical Trial Process (Medpace),CHAAP: Chat With Any Anonymous Page,https://revolutionuc2024.devpost.com/submissions/484354-chaap-chat-with-any-anonymous-page,Submitted (Gallery/Visible),Pending,Submit,02/24/2024 12:38:20,"Inspiration

We wanted to build a chatbot that could respect private data constraints and still deliver value. As such, we built an extension that can talk to anything, working with any website you can think of and scraping the data in a way that completely anonymizes data. We were inspired by works like Nightshade and other chatbots to guide our development.

What it does

CHAAP is a Chrome extension that can talk to any webpage you're on, performing reasoning and inference over the webpage. CHAAP allows you to talk to any LLM you want, ranging from AWS to OLLaMA to GPT. Additionally, if you're using proprietary LLMs, our HEMLock algorithm protects your data and prevents LLM providers from using your data for pretraining their models and stealing your work.

How we built it

We built CHAAP with several technologies, using technologies like Tembo for RAG, AWS for LLM inference, HuggingFace and Presidio for Anonymization, JS and HTML for the frontend, and countless other libraries. This library intricately weaves together a number of LLM systems to deliver secure and effective chatbot integrations.

Challenges we ran into

Chrome was a particularly hard thing to work with, as well as configuring Tembo to do vector database work. However we ended up implementing both.

Accomplishments that we're proud of

Delivering the project was an accomplishment we're quite proud of, as well as the anonymization algorithm we developed.

What we learned

Chrome is mean.

What's next for CHAAP: Chat With Any Anonymous Page

Image integration, stronger anonymization, potential decentralized protocol for LLM routing.
",https://github.com/arnavkomaragiri/CHAP,https://www.youtube.com/watch?v=80qRcPHnKxA&ab_channel=AndrewGerstenslager,"javascript, tembo, langchain, huggingface, ollama, amazon-web-services, openai, html5, chrome, python, fastapi",,University of Cincinnati,3,Lobby 2-27,University of Cincinnati,"Things were relatively good, we used Tembo, AWS, FastAPI, HuggingFace, and a number of technologies to deliver our product.",""
